ulasan,nilai
"PARAH BANGSAD BUKA PORTOFOLIO TULISAN NYA MOHON MENUNGGU MULU. SERVER KNTOL PADAHAL WAKTU "" NYA NAIK MAU NGEJUAL GBLOKK",NEGATIF
Ok mantap baru beberapa hari terbang pesat. Thanks PINTU . Jngn lupa pakai referral @nurbayaticute88111. Tetap berjuang 🙏🤗,POSITIF
Mudah menggunakannya..,POSITIF
Aplikasi yang begitu membantu.,POSITIF
Mantap lah,POSITIF
"bintang 3 dulu, nanti kalo udah bira tarik via dana, ovo, dll di tambahin lagj",NEGATIF
"Banyakin lagi criptonya,,, terus biaya jual beli ny jangan mahal2",POSITIF
Yg mau daftar pakai refferal saya biar dpt keuntungan bersama @annisasikumbang650,POSITIF
Bisa d bantu yg mastah2 d pintu....q blom masukin referal ni,POSITIF
"Rasakan aplikasinya, Desain aplikasi yang simpel dan ramah pengguna menjadikan Pintu sebagai platform investasi crypto termudah di Indonesia yang cocok digunakan semua kalangan, Rasakan mudahnya membeli, menjual, serta mengelola aset crypto dengan berbagai fitur yang ditawarkan di aplikasi Pintu, Ditambah dengan tampilannya yang futuristik dan elegan, pengalaman kamu dalam menggunakan aplikasi Pintu akan terasa semakin menyenangkan!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",POSITIF
@udin2alam474,POSITIF
hayalan orang miskin semoga jd orang kaya..16HbNn3XiXCkAsyDP1n7rduf5urprDPoVV,POSITIF
Best,POSITIF
Ga masuk2 aplikasi bangke kali !! Ga ada yang bener buatan indonesia emang..,NEGATIF
Semuga kedepannya aplikasi pintu lebih bermanfaat bagi msyarakat indonesia umumnya pada generasi mileneal yg komitmen dlm berinvestasi,POSITIF
"Mohon diperbaiki, aplikasi berat dijalankan, dan juga ditambah chart per menit",NEGATIF
Ok,POSITIF
saran kami mohon ada peningkatan untuk pengembangan sell limit dan buy limit masak sich. trader di suruh jaga 24 jam penuh,POSITIF
Transaksi cepat siip pintu,POSITIF
Is the best,POSITIF
Aplikasi kripto tertolol yg pernah gw pakai. Dari sekian aplikasi kripto yg gw temui. Cuma aplikasi sampah ini yg gk jelas. Entah jam bearapa riset persentase nya . Baru aja -4% dengan harga 96.000 dan bberapa menit kemudian -0.10% masih harga sekitar 96.100. tak logis. Dan tak masuk akal harusnya naik harga lebih tinggi awas. Jangan gunakan apk ini. Tidak update dan tidak sama signal dengan aslinya. Hanya menguntukan pihak aplikasi. Dan menguras uang pengguna aplikasi.. TERPARAAH...,NEGATIF
Pintu sangat mudah dan support sangat responsive,POSITIF
Tambahkan auto order Beli atau jual,POSITIF
Katanya sich dapat komisi bitcoin...tp dtgguin belum ada. Saya harap ada klarifikasi nya..??,POSITIF
Pintu sudah banyak membantu masalah keuangan saya Terima kasih banyak🙏,POSITIF
"Melakukan verifikasi kenapa susah banget,, foto udah jelas masih belum kebaca",NEGATIF
"TOLONG LISTING SHIBA INU, EXCANGE DI INDO AJA UDAH MASUKIN SHIBA INU",POSITIF
Supportnya buruk,NEGATIF
"Market,yg simpel dan mantullll bangeeeeeettt.👍👍👍",POSITIF
Ok,POSITIF
Nice shot,POSITIF
"Platform ini sangat rekomended banget oiy, banyak bonusnya dan biaya adminnya juga terbilang sangat murah.. mantep, lanjutkan eventbnya",POSITIF
Sering maintenance dan harga jual beli yang tertera berbeda dengan harga final jauh lebih mahal,NEGATIF
"Kenapa Saya tidak dapat bonus PTU? Ranting qw turunin satu, ntr klo dah dapat baru qw naikkan.",NEGATIF
Aplikasi apaan ini. Loadingnya terlama... Mau beli asset terlama... Ngabisi waktu. Perbaiki lagi dah.,NEGATIF
Tambahin fitur steking min,POSITIF
"mereka dapat gratisan, kenapa saya tidak?",NEGATIF
Nice future,POSITIF
Parah Bos Mahal Banget ngirim ke trus Fee nya hmpir 90% ckckck,NEGATIF
Aplikasi yg mantap no bacot dan basa basi,POSITIF
Lagi nyoba kasi 3 bintang dulu.,NEGATIF
Min tolong masuk kan aset crypto shiba dan lite coin tks,NEGATIF
Coba dulu,NEGATIF
"Kekurangan pintu itu cuma satu ga mau add jaringan selain erc20 yang feenya ga ngotak, koin yang murah feenya macem xrp dan solana cuma bisa transfer sesama",NEGATIF
Telat datang notifikasi code dari gmail nya tolong di perbaiki,NEGATIF
"Hi pintu.. tks sdh ksh token pintu nya, maaf sy ksh bintang 3 krn proses jual nya kok susah sekali ya? Tdk seperti proses beli nya.. Sdh sy chat jg blum ada respon nya.. gmn mo dpt cuan klo proses ga lancar.. Tolong di perbaiki ya.. tks",NEGATIF
"Rekening aja di tolak gimana saya bisa mencairkan dana.bagi yang mau berinvestasi lebih baik di pikir pikir dulu dengan matang saya di persulit kan di penarikan uang.tapi giliran deposit semuah bisa dari shopepay,gopay,dana dan lain lain ada",POSITIF
Mantap app nya lancar cepat juga,POSITIF
Aplikasi yg gampang buat pemula,POSITIF
"Kecewa!! receive idr dari tko ke pintu jaringan bep20 ga masuk"" !!",NEGATIF
Mantul,POSITIF
"Susah masuk padahal udah verifikasi email.. mau masuk harus masuk otp terus, keluar lagi harus otp lagi terus aja begitu...",NEGATIF
Lumayan ut pengisi waktu senggang.,NEGATIF
Aplikasi bagus semoga berkah,POSITIF
Sya kasi rate 1 laporan saya tidak pernah ditanggapi,NEGATIF
Koin Shiba donk d update,NEGATIF
Walau br pertama kali.. dan sy blm tau bagaimana caranya.. sy ingin sekali profit buat hidup layak utk keluarga,POSITIF
"Untuk develop, tolong dikasih fitur demo biar yang pemula bisa coba coba dulu",POSITIF
OK,POSITIF
"Yuk yang mau dapat bonus ketika deposit, pakai kode referal berikut @ahmednuryani",POSITIF
Min tambahin buat stacking dong biar seru,POSITIF
Good,POSITIF
Aplikasi yg gampang di mengerti oleh pemula seperti saya ... Sngt rokemendet banget ... Untuk sementara masih mempelajari dlu sblum nanti star trading di aplikasi pintu ... Optimis sukses bersama pintu,POSITIF
mantap.....,POSITIF
Good apk,POSITIF
"Ni aplikasi pling mncekik,kita beli dmahalin dri hrga asli, kita jual dmurahin dri hrga aslinya, parah bget nyesel gua download ni aplikasi brengsek,dchat support gak ada balasan lg smpe skrg, giliran kita mau deposit cepet bget tanggapan nya, nyesel download",NEGATIF
"Transaksi nya cepat juga mudah, tidak banyak aturan, pokok nya gampang banget 👍",POSITIF
"Baru dunlut,,, smoga bermanfa'at..",POSITIF
Oke,POSITIF
"Masih ada satu yg bikin gregetan dr pintu yaitu pd saat jual aset susah sekali soalny ngikutin Hrga jd gagal terus ap lg pas buru2 harga mau turun keburu los jadinya,di aplikasi sebelah tdk sprti itu jual lngsung sukses",NEGATIF
Keren,POSITIF
Update selanjut nya tambah menu widget.untuk mempermudah pemantauan harga langsung dari background.makasih PINTU.,POSITIF
Kok ga bisa di wd sih duit kita asw,NEGATIF
Kli bisa ga da potingan klo deposit . Spt d aplk lain jg grts. Tarik dana n masuk dana hrsny d kadih grtis jd tmbh pminat. Klo d pluang enak grts,NEGATIF
Cukup,POSITIF
Mantap,POSITIF
Kereennn bgt .. gokill abiisss,POSITIF
"Promo yang ditawarin emang gak main main, sejauh ini masih bagus ketimbang tetangga sebelah wkwkwk. Lebih bagus lagi kalo ada fitur auto sell/increase/ buat take profit/stop lose. Sekarang cuma masih notif alert yang sebenarnya juga membantu sekali. Baru mau daftar dan butuh kode baru? Input @aprilsuwarno, sampe ketemu di DApps Pintu 🤗🤗🤗",POSITIF
Ayo bljar aset digital via PINTU...,POSITIF
Mantab trading mudah dipahami tingkatkan lagi eventnya,POSITIF
"sudah seminggu download apk pintu. Tapi tdk bs masuk untuk membuat akun karena kita harus verifikasi dgn OTP yg dikirim ke email. tp setiap melihat OTP yg dikirim ke email, aplikasi pintu juga kembali ke tampilan awal. jd bagaimana mau ngisi no OTP. Diulang2 seperti itu terus.. sementara kasi 1 bintang dulu.",NEGATIF
Bisa bantu Login???,POSITIF
Tetaplah proposional..jangan ada kecurangan.maju terus pintu..,POSITIF
Jir baru tau lewat tv gua download lah N gampang banget pengoperasian nya gua aja baru belajar trending 2 hari dah bisa makasih pintu Untuk selanjutnya semoga lebih banyak update an untuk fitur penarikan nya Maju terus👍😀,POSITIF
Qku mau reset sandi tapibtidak dapat email reset nya gimana nih semoga cepat bisa ke buka lagi,POSITIF
"Saya coba instal, dari kemarin gagal terus... Mutar2 aja.. Instal aplikasi lain padahal sukses..",NEGATIF
Aplikasinya sangat bagus,POSITIF
Tingkatkan terus biar semakin maju,POSITIF
Saya senang berinvest di sini,POSITIF
"Emang mantep ini aplikasi. Kalian yg belum dwonload, buruan deh download. Nyesel kalo engga download.",POSITIF
Nyoba kalo bener bintang 5,POSITIF
Bagus,POSITIF
ada batas minimal penjualan & cukup besar nominalnya. agak susah untuk kalangan menengah kebawah masa minimal jual Rp. 4.530.000,NEGATIF
Coba dulu,POSITIF
"Sya kcewa punya sya gk pernah naik kadang anjlok banget gk balik modal ,ni gimna dong tanggapan nya yg lain naik malah aku gk,udh di update trus malu gk ada perubahan",NEGATIF
IDI duluh nanti ditambah,NEGATIF
"Program referal akan lebih ADIL jika ada link tauatan otomatis menautkan ke id pereferensi tanpa harus mengisi manual ID yg mereferensikan,jika manual sama saja banyak terjadi celah kecurangan dan tidak Adil",NEGATIF
Aplikasinya bagus. Kode referral saya 54238 atau kamilmoh,POSITIF
Alhamdulillah semenjak gabung aplikasi ini bisa nambah uang jajan. Daftar yuk pakai refferal ini @pijarprbd02 banyak bonusnya lhoo.,POSITIF
Asuuuuuuu,NEGATIF
Nice aplication,POSITIF
"Yg komen bnyak yg cari refral dri pda,ksih solusi... Emang tmpt promosi cri angota ap!!?? Pintu oke tp kendelnya terbatas..nanti semoga di perbaharuin supaya kayak market lain bisa tambah oke... Ksh bintg 3 krna msh blm dpt yg di inginkan..mf",NEGATIF
nyobi dulu,POSITIF
Mantap bos sebagai mudah,POSITIF
Aplikasi nya loadingnya lama beda kayak sebelah,NEGATIF
Aplikasi pintu emang ok.... Kamu wajib mencoba,POSITIF
Jelek... Nyesel depo disini.. Kebanyakan biaya admin...,NEGATIF
"Keren, mudah juga penggunaannya, tapi saran juga banyakin aset cryptonya",POSITIF
masi kurang pengalaman,NEGATIF
"Ayo download dan daftar menggunakan kode @ilhamnur untuk dapat benefit bonus dari setiap transaksi, selama seumur hidup. Happy cuan.",POSITIF
"Menurutku sangat bagus....!!! Hanya sedikit perminraan dari sy mungkin perlu penambahan token2 baby untuk meringankan trading/investasi pemula seperti sy yg baru mempunyai modal yang pas2an.. kalo proses verifikasi n lainyya sungguh oke, cepat dan sangat efidien,, demikian admin. Tks🙏",POSITIF
"pepek,,, deposit cepet pencairan lama, sampai saat ini blm masuj, untk tman teman harap hatu hati",NEGATIF
saya kasi bintang tiga dulu kalo terbukti menguntungkan dan aman pastinya baru saya tambah lagi bintang nya,NEGATIF
No hp hilang ga dapet otp auto ga bisa di buka..nanya ke cs atau media sosial ga ada tanggapan mantap,NEGATIF
Belum ngerti😂,NEGATIF
Sangat baik,POSITIF
Bagus buat main saham mini,POSITIF
Aplikasinya mantap sih tapi crytpo currencynya kurang lengkap model coin shiba inu yang lagi hits juga gak ada,POSITIF
Kenapa saya tidak bisa wd?,POSITIF
Cepat dan mudah,POSITIF
Knapa ea untuk deposit susah,NEGATIF
Yuuuuup,POSITIF
Nice,POSITIF
Mantap buat apk PINTU sya daptr dan dapat kado 500 rb. Trimakasih. Ayo teman 2 yang mau daptr jangan ragu. Masukin ref (@lawalata129) saat daptr ya byar dpt kado 500rb juga.,POSITIF
Maaf seperti mya harga beli agak lebih mahal di banding dengan indodax dan rekeningku,POSITIF
PTU GRATISS!! AMINN,POSITIF
Good,POSITIF
Mantap,POSITIF
Mantap banget,POSITIF
Semoga semakin baik,POSITIF
Cocok Buat Pemula Untuk Berinvestasi,POSITIF
Puas dengan aplikasi pintu,POSITIF
Mantul👍👍👍👍,POSITIF
Mantulllll,POSITIF
gk bisa buka,NEGATIF
"Mantap, mantap, mantap, sangat memuaskan untuk pemula wajib pakai aplikasi ini... Yg baru download jngn lipa masukin Reffperal (•@Ⓑ̣̣̣.Ⓤ̣̣̣.Ⓚ̣̣̣.Ⓐ̣̣̣.Ⓟ̣̣̣.Ⓘ̣̣̣.Ⓝ̣̣̣.Ⓣ̣̣̣.Ⓤ̣̣̣•) ini dan dapatkan keuntungan nya... Go go go download !!! <!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",POSITIF
Mantap untuk jual beli crypyto dan new berita ada,POSITIF
Isi ID raferal {@M.A.S.T.E.R.K.U} saat awal daftar untuk mendapatkan komisi level nya dan dapat bonus lain nya Jangan lupa verifikasi diri.lakukan deposit awal dan lakukan perdagangan pertamamu.aplikasi ini sangat benar recommended buat kalian semua.karena sudah terdaftar di bappepti dan ojk!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,NEGATIF
"Kirim email ke custimer servis lama berhari hari dibalesnya cuman mau ganti gauth aja karena hp yang dulu hilang, maaf ya kasih bintang 1",NEGATIF
Mantap,POSITIF
"mantap , apl y mudah dan seru buat investasi.",POSITIF
Maybe be you can make this apps in landscape mode,POSITIF
Bagus tapi koin kecil jarang di sini,POSITIF
"Aplikasi nya bagus , mohon untuk token krypto lainnya ditambah agar lebih banyak lagi, dan untuk WD mohon juga agar bisa dilakukan 24jam . Dan tambahin fitu² lainnya. trimakasih",POSITIF
"Sudah bagus sih,, kalo bisa tambahin aset cryptonya dong,, biar banyak pilihannya,,",NEGATIF
Sangat2 bagus,POSITIF
( @ooksuhendar986 ),POSITIF
Rugi nanem d sni Jual kena potongan Beli kena potongan🤣 taila,NEGATIF
"Ahh masa beli token PTU seharga 1,2jt skrng tinggal 900rebu 🥱🥱😌",NEGATIF
Bagus aplikasi yang sangat membantu untuk per ekonomian sekarang .. good apk,POSITIF
"Pelayanan jelek, saya mau ganti nomor hp udah via email gak ada balasan. Minta otp ke telegram gak muncul otp nya. Makan tuh bintang 1",NEGATIF
Oke mntp,POSITIF
Terbaik dan termudah dpahami terlebih bagi pemula,POSITIF
"Mohon UInya dibetulin, letak ""beli pintu"" dan pengumumannya tidak usah taruh disitu, jarang dibaca tp menghalangi watch list",NEGATIF
eKTP saya dinyatakan kadaluwarsa sama aplikasi ini... nggak jadi verifikasi mending uninstall,NEGATIF
Mantap,POSITIF
Harusnya dalam penarikan ada virtual account/ e-wallet,NEGATIF
Mantap,POSITIF
good,POSITIF
Mantab,POSITIF
Alhamdulillah...smg berkah,POSITIF
"Otp udh masuk ke email giliran di masukin invalid melulu, hadeeh",NEGATIF
"Apaan njirrr,bikin rugi member sendiri, yang untung malah platform bybit, sebetul nya token ptu itu pun ya pintu atau pun ya bybit? Rugi banyakk!!!",NEGATIF
"@purintan14646 gunakan aplikasi aku ya teman biar dapat komisi pertamamu, goodluck...",POSITIF
invicibletrading intheUniverse,POSITIF
Lumayan lah,POSITIF
Platform ter ampas kyk taik gw. Hanya mementingkan untung. Tidak menjaga member. Nyesel gw download. Yg mw download mikir 1000x. Sering error dan slow respon.,NEGATIF
Coba dulu bos...,POSITIF
Tingkat kan ada perbarui,POSITIF
Good,POSITIF
"Bagus buat pemula tapi sayang ga bisa masang strategi, jadi tidak tahun kapan harus melakukan pembelian",NEGATIF
Mau daftar tapi kirim OTP lewat emailnya telat mulu. Akhirnya gagal dong.,NEGATIF
Uninstal ajah kirim USDT gak bisa pakai TRC 20,NEGATIF
"Min untuk penarikan tambahin e-wallet dong, biar yang ga punya rekening tetep bisa make aplikasi ini. Aplikasi sebelah juga bisa masa sini ngga.",NEGATIF
Bisakah menambah deapcoin sebagai aset ?,POSITIF
Terimakasih sudah banyak membantu 🙏,POSITIF
"$PTU listing di apk sendiri malah lebih dulu di market lain giliran masuk pintu pengguna nya dijadikan tumbal, harga yang digadang gadang $0,25 eh pas listing lebih dari $1 , OP di harga rendah erorr pas masuk eh udah diatas harganya, terus dari awal listing penurunan harga ga ngotak ampe 50% lebih aset hilang, banyak yang rugi , bagaimana investor mau masuk , sedangkan fundamental tidak jelas naik 100 perak turunnya seribu. Mantap pintu the best pokonya",NEGATIF
Aplikasi Lemot Parah... Ketika Harga Anjlok/Naik Susah Untuk Buy/Sell...,NEGATIF
"Harga 1 coin dg harga estimasi dan harga final sangat jauh berbeda, perbedaan bisa mencapai 1-2% sangat tidak masuk akal. Bukannya untung malah makin buntung/rugi 👎",NEGATIF
Saya ini pemula di Pintu. saya belum mengerti dengan baik. Adakah Tutorialnya ??,POSITIF
"Gimana cara main nya, bingung sendiri saya, gak ada yang bantu pula",NEGATIF
Jngn coba tranding di PTU auto ajlok . Parah,NEGATIF
👍,POSITIF
Ok,POSITIF
Mantap boskuu semoga semakin jata,POSITIF
Simple....cepat...ntappp...,POSITIF
Lanjutkan penipuan nya wkwkwk,NEGATIF
Referal @zetezenn179 mari cari keuntungan di pintu....,POSITIF
Baguuuuuuusssss,POSITIF
"Sediakan versi web juga, sekalian tambahin tools untuk analisa teknikalnya",NEGATIF
Top app😀,POSITIF
Baik,POSITIF
Bagus dan simple,POSITIF
"Nice responsif ,dan fitur menarik ,tampilan juga keren",POSITIF
Upppp,NEGATIF
Oke lah,NEGATIF
Tuan rumah tapi di opennya di bybit bukan di sini langsung,NEGATIF
Aplikasi tidak bisa melihat aktifitas dan jumlah teman/referal,NEGATIF
Caranya gimana kak tolong kak,NEGATIF
Sangat mudah di mengerti buat pemula,POSITIF
Sangat mudah jangan lupa join juga kawan biar sama2 untung @azkaafarel26666,NEGATIF
Mantap banget,POSITIF
veripikasinya cpt ga lama kirainn nunggu 2/3 hr kerja buat yg baru donload PINTU masukin kede repral aku ya biar kita sama sama untung @lanim0285571 terimakasih,POSITIF
Bagus aplikasinya pkai refferal ini @oppo87150934 gk ada yg di rugikan kok..,POSITIF
Baru pertama belajar Bitcoin dan sejenisnya di Pintu. Semoga bisa dan Sukses selalu semuanya. @rizkahasan248,POSITIF
Isi @kenny27. Bonus ayam geprek,POSITIF
Mantaf..aplikasi yg luar biasa,POSITIF
"Kapok pake pintu. Sekarang baru tahu kenapa gak ada fitur hold. Biar ketika harga naik jualnya susah, server lola banget. Mau jual Ngulang2 puluhan kali (alasan harga udah berubah). Ujung2nya kejual harga rendah juga. Gak lagi lagilah pake pintu.",NEGATIF
Sangat bagus,POSITIF
Baru belajar,POSITIF
✌✌✌,POSITIF
Baru belajar,POSITIF
Aplikasi mudah dan sangat bermanfaat,POSITIF
Top,POSITIF
langsung bonus gunakan ref ini @amiinwahyudi893,POSITIF
Semoga membantu,POSITIF
Ok,POSITIF
Mudah memakai ya,POSITIF
Jjd,POSITIF
Pintu ep ep masih buka,NEGATIF
mantap,POSITIF
pengoprasian pitur2 aplikasinya mudah dan bagus.,POSITIF
Ok.. Bisa di tambah token- token micinya.. 😃😃👍👍,POSITIF
"Gak bisa login pake akun lama, susah banget ngeselin udah pake google authenticator gak ada cara lain udah di atur automatic jam nya tapi tetep gagal terus, harusnya ada cara lain buat login, uang bisa melayang kalo gini.",NEGATIF
Referal @jackrohman,POSITIF
Good,POSITIF
Bagus dan simpel pencairanya cepet..cuman aga lemot,POSITIF
Menarik,POSITIF
Saran dari saya coba dong adain tarik saldo dengan akun wallet biar gampang gk ke bank dulu baru ke akun wallet,POSITIF
Bagus,POSITIF
Luar biasa,POSITIF
"Memang bagus aplikasi ini, katanya biaya pembelian 0 tetapi waktu beli dan jual jauh bedanya.kalo kita beli harganya lebih mahal waktu jual harga nya lebih murah,kalo saya liat sama aja kita di kenakan biaya pembelian dan penjualan.misalkan harga coin 2.909 harga beli 2.925 dan harga jual 2.897. perhatikan coin di market nya sebelum melakukan transaksi....",NEGATIF
Mohon di perbanyak jenis crypto/token agar Agar lebih banyak menarik peminat,POSITIF
Good,POSITIF
💯,POSITIF
Dicoba dulu ya,NEGATIF
Masih banyak app invest crypto yg lebih bagus dari pada app pintu.. thanks,NEGATIF
Like,POSITIF
Bagus dan mudah,POSITIF
Ok tp aplikasi berat suka loading dan maintinence,POSITIF
Wd nya susah,NEGATIF
"Terimakasih pintu, karna sudah memberikan pelayanan yang baik. Dari proses register, bonus reward dan penarikan. Lancar jaya",POSITIF
Pengoperasian mudah di mengerti dan sangat membantu menyimpan aset crypto dan mudah juga dalam melakukan transaksi,POSITIF
"Pintu rilis Token PTU langsung anjlok, + rilis duluan di Platform yg lain, para pengguna Pintu Kecewa",NEGATIF
Mantap,POSITIF
Tolong pelayanan nya dan respon nya di perbaiki... Saya tarik dana dari kemarin masih tertahan terus padahal Sy sudah balas email nya yg katanya dana tertahan karna nama bank artos di ganti bank jago Sy sudah perbaiki tapi gk ada respon dan saldo nya masih tertahan terus,POSITIF
bagus..,POSITIF
Sejauh ini ok,POSITIF
Super lelet cok,NEGATIF
Aplikasi pintu sangat rekomendasi sekali buat pemula yg ingin investasi di crypto soal nya tim pibtu selalu memberikan kejutan sebuah bonus,POSITIF
"Pintu luar biasa download sekarang, tingkatkan kualitas aplikasi pintu, udah banyak bonus, dan potongan harga beli supaya dikurangi, sukses selalu pintu 👍",POSITIF
Cepat trx nya,POSITIF
"Banyak hadiah nya ,, nih reff punya saya @cuancryptoindo biar dapat diskon ketika beli",POSITIF
"Beli PTU di 49rb pas launching terus selang berapa hari langsung anjlok ke 26rb, wkwk amsyong..",NEGATIF
Tambahin USD bang rekomended banget ini pintu sumpah,POSITIF
Paling bagus untuk berinvestasi Saldo nambah teruss 😘 Jangan lupa masukan kode referral : 👉 @bursapintu 👉 Setiap kamu bertransaksi dapat komisi Cashback hingga 0.004% 😍 Langsung deh di kasih bintang 5 karena aplikasi ini yang terbaik 😘😘😘,POSITIF
OK,POSITIF
"Aplikasinya bagus, tapi kadang Heng atau down, tolong di perbaiki lg servernya",POSITIF
"Waduh selisih jual-Beli -+ 1%nan Masang 10jt selisih jual beli -+100k dan seterusnya, buat nyamain balik modal aja susah, ni buat saran aja, kalo buat nyari duit sehari hari jangan di sini brow, dah kabur aja dari pintu,",NEGATIF
"Aplikasi yang recommended banget, mudah deposit dan withdraw nya. Keren banget",POSITIF
Tolong chat syA di balas. SYa kehilangan goggle aut dan saya gak bisa masuk aplilasi pintu. Bisa tolong di arahkan. Sudh berkLi kli saya kirim email gk d bls,NEGATIF
Ok,POSITIF
Aplikasi bagus..apa lagi dtambah dengan fitur investmen/staking untuk masing2 coin pasti lebih bagus..,POSITIF
Recomended buat invest jangka pendek dan panjang..thanks pintu,POSITIF
makasi airdrop nya😍,POSITIF
ngennnnn bagus tp,POSITIF
"Bagus,sangat mudah",POSITIF
Mantap,POSITIF
Ok,POSITIF
Gampang pake apk ini terimakasih sih team pintu,POSITIF
Bagus....dan menguntungkan 😍,POSITIF
Bagus,POSITIF
Mantap,POSITIF
Transfer/ wd kalo bisa lebih cepat lagi,POSITIF
Salam Cuan 👍🏻,POSITIF
Bagus,POSITIF
Oke,POSITIF
"Banyakin Event nya , aplikasi bagus legit",POSITIF
Semoga PTU bisa di pertahankan minimal di harga pas pertama rilis. Banyak user yg serok tapi nyangkut di harga tinggi,NEGATIF
Ayo PINTU Tunjukan Pesona Mu🤭,POSITIF
Goooddd,POSITIF
I love it..,POSITIF
Manteb banget pokok nya,POSITIF
Kalau bisa lebih banyak lagi koinya biar banyak pilihan buat di trendingkan,POSITIF
Nice! Semoga pintu menambahkan penarikan melalui ewallet dana dll,POSITIF
Bagus,POSITIF
Ribet amat,NEGATIF
Mohon bantuannya dari pihak pintu karena saya tidak bisa masuk ke akun saya karena nomor hp saya telah hilang dan saya tidak bisa menerima otp mohon bantuannya dari pihak pintu untuk melakukan Menganti nomor hp yang baru,POSITIF
Semoga sukses slalu.,POSITIF
kenapa setiap mau depo antar bank semua VA invailid semua engga ada yg bisa,NEGATIF
"Paling mudah, cocok buat pemula, ada edukasinya, ada komunitas telegramnya, adminnya fast respon, antarmukanya bagus bgt! The best 👍💯",POSITIF
Okkk,POSITIF
Mantap,POSITIF
Juosss,POSITIF
"Enak nya di Pintu itu saldo top up cepet masuknya penarikannya jg lancar gk ada hitungan menit, gk kayak aplikasi sebelah🙏",POSITIF
No comment,POSITIF
Mantap,POSITIF
Kapan ya aku bisa dapet saldo Gratis dari pintu😔,POSITIF
"Terimakasih pintu , semoga slalu menjadi yang terbaik ya ..",POSITIF
"gk dpt saldo PTU NYA,,KLO dpt sy naikn bintang ny",NEGATIF
Aplikasi cuan. Mantap,POSITIF
Great apps,POSITIF
cakepppp,POSITIF
Bagus Tingkatkan Lagi,POSITIF
Input Kode reff OPTIONAL,POSITIF
Mantap,POSITIF
Respon 24 jam tapi saya... Komplain tanggapan hanya 1 kali.... Penarikan di tahan gak di refund bagaimana ini,POSITIF
"mudah, cepat dan aman 👍🚀",POSITIF
Bermanfaat .good luck pintuuu,POSITIF
"B coinnya lama naik malah turn terus jadi merugi,setiap kali trading ga pernah berhasil",NEGATIF
Sangat bagus,POSITIF
Mantap banget,POSITIF
Bagus,POSITIF
Saving Dana Crypto... Semoga semakin baik kedepannya..👍👍,POSITIF
saya sudah Kirim email perihal riset GAuth dengan syarat foto selfie dengan identitas namun belom ada respon sama sekali,NEGATIF
woyy pintu kenapa saya mengirim aset tidak masuk,NEGATIF
Aplikasi mantap. Gak nyesel ikut pintu,POSITIF
Best,POSITIF
Sangat bagus,POSITIF
Buat menu staking dong,POSITIF
Aplikasinya terlalu berat... Masukan . segera luncurkan versi lite saja biar trading nya nyaman dan enteng . mkasih,POSITIF
Ga ribet pokonya sangat membantu di masa seperti ini,POSITIF
Ok,POSITIF
Eror login??? Why?,POSITIF
Mantap aplikasinya,POSITIF
"Aplikasi bagus,banyak reward rewardnya",POSITIF
Verivikasi gogel lama,NEGATIF
Good,POSITIF
Buset,POSITIF
"beli dan jual asset crypto jadi mudah, simpel, dan nyaman. sayang dong dark.mode nya terlalu hitam legam. sakit dimata, musti ada lebih ruster.abu-abunya dong",POSITIF
"Aplikasi investasi crypto yang bagus untuk pemula, tapi untuk spread sama fee WD memang agak besar ya itu aja minusnya. Tapi tolong tambahkan lagi berbagai koin cryptonya agar lebih bervariasi dalam investasinya",POSITIF
Mantap aplikasinya,POSITIF
Susah berkembang lah bos. kalo kirim dan terima aset hanya ke sesama pengguna pintu. !!!!!,NEGATIF
Anjir guwe dah selesai kyc malah mau masuk ga bisa2..loding Mulu ga bisa2.tolong pihak pintu mohon saya diberi akses,NEGATIF
Is the best,POSITIF
t g,NEGATIF
Ok,POSITIF
"GK punya modal, tpi pintu bermasyarakat banget. Orang kaya aku ja bisa ikutan. Terima kasih pintu.",POSITIF
Payah...gak menguntungkan..padahl beli oas harga trun...gliran harga naik gak dot untung..,NEGATIF
Mantapp lah aplikasi nya,POSITIF
Mudah2an berjodoh.....aaammmiiiiinnnnnn......Wt lahiran.....,POSITIF
Belum bisa transfer ke wallet lain mohon di-update lagi kalau bisa saya tambahin 1 bintang lagi,POSITIF
Mantap nih aplikasi.. Kalo ada 10 bintang aku kasih dah,POSITIF
Thank pinfu,POSITIF
Mantap,POSITIF
