content,score
Pintu sudah banyak membantu masalah keuangan saya Terima kasih banyak🙏,5
"Melakukan verifikasi kenapa susah banget,, foto udah jelas masih belum kebaca",1
"TOLONG LISTING SHIBA INU, EXCANGE DI INDO AJA UDAH MASUKIN SHIBA INU",5
Supportnya buruk,1
"Market,yg simpel dan mantullll bangeeeeeettt.👍👍👍",5
Ok,5
Nice shot,5
"Platform ini sangat rekomended banget oiy, banyak bonusnya dan biaya adminnya juga terbilang sangat murah.. mantep, lanjutkan eventbnya",5
Sering maintenance dan harga jual beli yang tertera berbeda dengan harga final jauh lebih mahal,1
"Kenapa Saya tidak dapat bonus PTU? Ranting qw turunin satu, ntr klo dah dapat baru qw naikkan.",3
Aplikasi apaan ini. Loadingnya terlama... Mau beli asset terlama... Ngabisi waktu. Perbaiki lagi dah.,1
Tambahin fitur steking min,5
"mereka dapat gratisan, kenapa saya tidak?",1
Nice future,5
Parah Bos Mahal Banget ngirim ke trus Fee nya hmpir 90% ckckck,1
Aplikasi yg mantap no bacot dan basa basi,5
Lagi nyoba kasi 3 bintang dulu.,3
Min tolong masuk kan aset crypto shiba dan lite coin tks,3
Coba dulu,1
"Kekurangan pintu itu cuma satu ga mau add jaringan selain erc20 yang feenya ga ngotak, koin yang murah feenya macem xrp dan solana cuma bisa transfer sesama",2
Telat datang notifikasi code dari gmail nya tolong di perbaiki,1
"Hi pintu.. tks sdh ksh token pintu nya, maaf sy ksh bintang 3 krn proses jual nya kok susah sekali ya? Tdk seperti proses beli nya.. Sdh sy chat jg blum ada respon nya.. gmn mo dpt cuan klo proses ga lancar.. Tolong di perbaiki ya.. tks",3
"Rekening aja di tolak gimana saya bisa mencairkan dana.bagi yang mau berinvestasi lebih baik di pikir pikir dulu dengan matang saya di persulit kan di penarikan uang.tapi giliran deposit semuah bisa dari shopepay,gopay,dana dan lain lain ada",5
Mantap app nya lancar cepat juga,5
Aplikasi yg gampang buat pemula,5
"Kecewa!! receive idr dari tko ke pintu jaringan bep20 ga masuk"" !!",3
Mantul,5
"Susah masuk padahal udah verifikasi email.. mau masuk harus masuk otp terus, keluar lagi harus otp lagi terus aja begitu...",1
Lumayan ut pengisi waktu senggang.,3
Aplikasi bagus semoga berkah,5
Sya kasi rate 1 laporan saya tidak pernah ditanggapi,1
Koin Shiba donk d update,1
Walau br pertama kali.. dan sy blm tau bagaimana caranya.. sy ingin sekali profit buat hidup layak utk keluarga,5
"Untuk develop, tolong dikasih fitur demo biar yang pemula bisa coba coba dulu",4
OK,5
"Yuk yang mau dapat bonus ketika deposit, pakai kode referal berikut @ahmednuryani",5
Min tambahin buat stacking dong biar seru,4
Good,5
Aplikasi yg gampang di mengerti oleh pemula seperti saya ... Sngt rokemendet banget ... Untuk sementara masih mempelajari dlu sblum nanti star trading di aplikasi pintu ... Optimis sukses bersama pintu,5
mantap.....,5
Good apk,5
"Ni aplikasi pling mncekik,kita beli dmahalin dri hrga asli, kita jual dmurahin dri hrga aslinya, parah bget nyesel gua download ni aplikasi brengsek,dchat support gak ada balasan lg smpe skrg, giliran kita mau deposit cepet bget tanggapan nya, nyesel download",1
"Transaksi nya cepat juga mudah, tidak banyak aturan, pokok nya gampang banget 👍",5
"Baru dunlut,,, smoga bermanfa'at..",5
Oke,5
"Masih ada satu yg bikin gregetan dr pintu yaitu pd saat jual aset susah sekali soalny ngikutin Hrga jd gagal terus ap lg pas buru2 harga mau turun keburu los jadinya,di aplikasi sebelah tdk sprti itu jual lngsung sukses",3
Keren,5
Update selanjut nya tambah menu widget.untuk mempermudah pemantauan harga langsung dari background.makasih PINTU.,5
Kok ga bisa di wd sih duit kita asw,1
Kli bisa ga da potingan klo deposit . Spt d aplk lain jg grts. Tarik dana n masuk dana hrsny d kadih grtis jd tmbh pminat. Klo d pluang enak grts,2
Cukup,5
Mantap,5
Kereennn bgt .. gokill abiisss,5
"Promo yang ditawarin emang gak main main, sejauh ini masih bagus ketimbang tetangga sebelah wkwkwk. Lebih bagus lagi kalo ada fitur auto sell/increase/ buat take profit/stop lose. Sekarang cuma masih notif alert yang sebenarnya juga membantu sekali. Baru mau daftar dan butuh kode baru? Input @aprilsuwarno, sampe ketemu di DApps Pintu 🤗🤗🤗",5
Ayo bljar aset digital via PINTU...,5
Mantab trading mudah dipahami tingkatkan lagi eventnya,5
"sudah seminggu download apk pintu. Tapi tdk bs masuk untuk membuat akun karena kita harus verifikasi dgn OTP yg dikirim ke email. tp setiap melihat OTP yg dikirim ke email, aplikasi pintu juga kembali ke tampilan awal. jd bagaimana mau ngisi no OTP. Diulang2 seperti itu terus.. sementara kasi 1 bintang dulu.",1
Bisa bantu Login???,4
Tetaplah proposional..jangan ada kecurangan.maju terus pintu..,4
Jir baru tau lewat tv gua download lah N gampang banget pengoperasian nya gua aja baru belajar trending 2 hari dah bisa makasih pintu Untuk selanjutnya semoga lebih banyak update an untuk fitur penarikan nya Maju terus👍😀,5
Qku mau reset sandi tapibtidak dapat email reset nya gimana nih semoga cepat bisa ke buka lagi,4
"Saya coba instal, dari kemarin gagal terus... Mutar2 aja.. Instal aplikasi lain padahal sukses..",1
Aplikasinya sangat bagus,4
Tingkatkan terus biar semakin maju,5
Saya senang berinvest di sini,5
"Emang mantep ini aplikasi. Kalian yg belum dwonload, buruan deh download. Nyesel kalo engga download.",5
Nyoba kalo bener bintang 5,4
Bagus,5
ada batas minimal penjualan & cukup besar nominalnya. agak susah untuk kalangan menengah kebawah masa minimal jual Rp. 4.530.000,1
Coba dulu,4
"Sya kcewa punya sya gk pernah naik kadang anjlok banget gk balik modal ,ni gimna dong tanggapan nya yg lain naik malah aku gk,udh di update trus malu gk ada perubahan",2
IDI duluh nanti ditambah,3
"Program referal akan lebih ADIL jika ada link tauatan otomatis menautkan ke id pereferensi tanpa harus mengisi manual ID yg mereferensikan,jika manual sama saja banyak terjadi celah kecurangan dan tidak Adil",1
Aplikasinya bagus. Kode referral saya 54238 atau kamilmoh,5
Alhamdulillah semenjak gabung aplikasi ini bisa nambah uang jajan. Daftar yuk pakai refferal ini @pijarprbd02 banyak bonusnya lhoo.,5
Asuuuuuuu,1
Nice aplication,5
"Yg komen bnyak yg cari refral dri pda,ksih solusi... Emang tmpt promosi cri angota ap!!?? Pintu oke tp kendelnya terbatas..nanti semoga di perbaharuin supaya kayak market lain bisa tambah oke... Ksh bintg 3 krna msh blm dpt yg di inginkan..mf",3
nyobi dulu,4
Mantap bos sebagai mudah,5
Aplikasi nya loadingnya lama beda kayak sebelah,1
Aplikasi pintu emang ok.... Kamu wajib mencoba,4
Jelek... Nyesel depo disini.. Kebanyakan biaya admin...,1
"Keren, mudah juga penggunaannya, tapi saran juga banyakin aset cryptonya",4
masi kurang pengalaman,2
"Ayo download dan daftar menggunakan kode @ilhamnur untuk dapat benefit bonus dari setiap transaksi, selama seumur hidup. Happy cuan.",5
"Menurutku sangat bagus....!!! Hanya sedikit perminraan dari sy mungkin perlu penambahan token2 baby untuk meringankan trading/investasi pemula seperti sy yg baru mempunyai modal yang pas2an.. kalo proses verifikasi n lainyya sungguh oke, cepat dan sangat efidien,, demikian admin. Tks🙏",5
"pepek,,, deposit cepet pencairan lama, sampai saat ini blm masuj, untk tman teman harap hatu hati",1
saya kasi bintang tiga dulu kalo terbukti menguntungkan dan aman pastinya baru saya tambah lagi bintang nya,3
No hp hilang ga dapet otp auto ga bisa di buka..nanya ke cs atau media sosial ga ada tanggapan mantap,1
Belum ngerti😂,1
Sangat baik,5
Bagus buat main saham mini,5
Aplikasinya mantap sih tapi crytpo currencynya kurang lengkap model coin shiba inu yang lagi hits juga gak ada,4
Kenapa saya tidak bisa wd?,5
Cepat dan mudah,5
Knapa ea untuk deposit susah,3
Yuuuuup,5
Nice,5
Mantap buat apk PINTU sya daptr dan dapat kado 500 rb. Trimakasih. Ayo teman 2 yang mau daptr jangan ragu. Masukin ref (@lawalata129) saat daptr ya byar dpt kado 500rb juga.,5
Maaf seperti mya harga beli agak lebih mahal di banding dengan indodax dan rekeningku,4
PTU GRATISS!! AMINN,5
Good,5
Mantap,5
Mantap banget,5
Semoga semakin baik,5
Cocok Buat Pemula Untuk Berinvestasi,5
Puas dengan aplikasi pintu,5
Mantul👍👍👍👍,5
Mantulllll,5
gk bisa buka,1
"Mantap, mantap, mantap, sangat memuaskan untuk pemula wajib pakai aplikasi ini... Yg baru download jngn lipa masukin Reffperal (•@Ⓑ̣̣̣.Ⓤ̣̣̣.Ⓚ̣̣̣.Ⓐ̣̣̣.Ⓟ̣̣̣.Ⓘ̣̣̣.Ⓝ̣̣̣.Ⓣ̣̣̣.Ⓤ̣̣̣•) ini dan dapatkan keuntungan nya... Go go go download !!! <!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",5
Mantap untuk jual beli crypyto dan new berita ada,4
Isi ID raferal {@M.A.S.T.E.R.K.U} saat awal daftar untuk mendapatkan komisi level nya dan dapat bonus lain nya Jangan lupa verifikasi diri.lakukan deposit awal dan lakukan perdagangan pertamamu.aplikasi ini sangat benar recommended buat kalian semua.karena sudah terdaftar di bappepti dan ojk!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,3
"Kirim email ke custimer servis lama berhari hari dibalesnya cuman mau ganti gauth aja karena hp yang dulu hilang, maaf ya kasih bintang 1",1
Mantap,5
"mantap , apl y mudah dan seru buat investasi.",5
Maybe be you can make this apps in landscape mode,4
Bagus tapi koin kecil jarang di sini,5
"Aplikasi nya bagus , mohon untuk token krypto lainnya ditambah agar lebih banyak lagi, dan untuk WD mohon juga agar bisa dilakukan 24jam . Dan tambahin fitu² lainnya. trimakasih",4
"Sudah bagus sih,, kalo bisa tambahin aset cryptonya dong,, biar banyak pilihannya,,",3
Sangat2 bagus,5
( @ooksuhendar986 ),5
Rugi nanem d sni Jual kena potongan Beli kena potongan🤣 taila,1
"Ahh masa beli token PTU seharga 1,2jt skrng tinggal 900rebu 🥱🥱😌",1
Bagus aplikasi yang sangat membantu untuk per ekonomian sekarang .. good apk,5
"Pelayanan jelek, saya mau ganti nomor hp udah via email gak ada balasan. Minta otp ke telegram gak muncul otp nya. Makan tuh bintang 1",1
Oke mntp,5
Terbaik dan termudah dpahami terlebih bagi pemula,5
"Mohon UInya dibetulin, letak ""beli pintu"" dan pengumumannya tidak usah taruh disitu, jarang dibaca tp menghalangi watch list",2
eKTP saya dinyatakan kadaluwarsa sama aplikasi ini... nggak jadi verifikasi mending uninstall,1
Mantap,5
Harusnya dalam penarikan ada virtual account/ e-wallet,1
Mantap,5
good,5
Mantab,5
Alhamdulillah...smg berkah,5
"Otp udh masuk ke email giliran di masukin invalid melulu, hadeeh",1
"Apaan njirrr,bikin rugi member sendiri, yang untung malah platform bybit, sebetul nya token ptu itu pun ya pintu atau pun ya bybit? Rugi banyakk!!!",1
"@purintan14646 gunakan aplikasi aku ya teman biar dapat komisi pertamamu, goodluck...",5
invicibletrading intheUniverse,5
Lumayan lah,4
Platform ter ampas kyk taik gw. Hanya mementingkan untung. Tidak menjaga member. Nyesel gw download. Yg mw download mikir 1000x. Sering error dan slow respon.,1
Coba dulu bos...,5
Tingkat kan ada perbarui,4
Good,5
"Bagus buat pemula tapi sayang ga bisa masang strategi, jadi tidak tahun kapan harus melakukan pembelian",3
Mau daftar tapi kirim OTP lewat emailnya telat mulu. Akhirnya gagal dong.,3
Uninstal ajah kirim USDT gak bisa pakai TRC 20,1
"Min untuk penarikan tambahin e-wallet dong, biar yang ga punya rekening tetep bisa make aplikasi ini. Aplikasi sebelah juga bisa masa sini ngga.",2
Bisakah menambah deapcoin sebagai aset ?,5
Terimakasih sudah banyak membantu 🙏,5
"$PTU listing di apk sendiri malah lebih dulu di market lain giliran masuk pintu pengguna nya dijadikan tumbal, harga yang digadang gadang $0,25 eh pas listing lebih dari $1 , OP di harga rendah erorr pas masuk eh udah diatas harganya, terus dari awal listing penurunan harga ga ngotak ampe 50% lebih aset hilang, banyak yang rugi , bagaimana investor mau masuk , sedangkan fundamental tidak jelas naik 100 perak turunnya seribu. Mantap pintu the best pokonya",1
Aplikasi Lemot Parah... Ketika Harga Anjlok/Naik Susah Untuk Buy/Sell...,1
"Harga 1 coin dg harga estimasi dan harga final sangat jauh berbeda, perbedaan bisa mencapai 1-2% sangat tidak masuk akal. Bukannya untung malah makin buntung/rugi 👎",1
Saya ini pemula di Pintu. saya belum mengerti dengan baik. Adakah Tutorialnya ??,5
"Gimana cara main nya, bingung sendiri saya, gak ada yang bantu pula",3
Jngn coba tranding di PTU auto ajlok . Parah,1
👍,4
Ok,5
Mantap boskuu semoga semakin jata,5
Simple....cepat...ntappp...,4
Lanjutkan penipuan nya wkwkwk,1
Referal @zetezenn179 mari cari keuntungan di pintu....,5
Baguuuuuuusssss,5
"Sediakan versi web juga, sekalian tambahin tools untuk analisa teknikalnya",3
Top app😀,5
Baik,5
Bagus dan simple,5
"Nice responsif ,dan fitur menarik ,tampilan juga keren",4
Upppp,1
Oke lah,3
Tuan rumah tapi di opennya di bybit bukan di sini langsung,1
Aplikasi tidak bisa melihat aktifitas dan jumlah teman/referal,3
Caranya gimana kak tolong kak,2
Sangat mudah di mengerti buat pemula,5
Sangat mudah jangan lupa join juga kawan biar sama2 untung @azkaafarel26666,1
Mantap banget,5
veripikasinya cpt ga lama kirainn nunggu 2/3 hr kerja buat yg baru donload PINTU masukin kede repral aku ya biar kita sama sama untung @lanim0285571 terimakasih,5
Bagus aplikasinya pkai refferal ini @oppo87150934 gk ada yg di rugikan kok..,4
Baru pertama belajar Bitcoin dan sejenisnya di Pintu. Semoga bisa dan Sukses selalu semuanya. @rizkahasan248,5
Isi @kenny27. Bonus ayam geprek,4
Mantaf..aplikasi yg luar biasa,5
"Kapok pake pintu. Sekarang baru tahu kenapa gak ada fitur hold. Biar ketika harga naik jualnya susah, server lola banget. Mau jual Ngulang2 puluhan kali (alasan harga udah berubah). Ujung2nya kejual harga rendah juga. Gak lagi lagilah pake pintu.",2
Sangat bagus,5
Baru belajar,4
✌✌✌,5
Baru belajar,5
Aplikasi mudah dan sangat bermanfaat,5
Top,4
langsung bonus gunakan ref ini @amiinwahyudi893,5
Semoga membantu,5
Ok,5
Mudah memakai ya,5
Jjd,5
Pintu ep ep masih buka,3
mantap,5
pengoprasian pitur2 aplikasinya mudah dan bagus.,5
Ok.. Bisa di tambah token- token micinya.. 😃😃👍👍,5
"Gak bisa login pake akun lama, susah banget ngeselin udah pake google authenticator gak ada cara lain udah di atur automatic jam nya tapi tetep gagal terus, harusnya ada cara lain buat login, uang bisa melayang kalo gini.",1
Referal @jackrohman,5
Good,5
Bagus dan simpel pencairanya cepet..cuman aga lemot,5
Menarik,4
Saran dari saya coba dong adain tarik saldo dengan akun wallet biar gampang gk ke bank dulu baru ke akun wallet,5
Bagus,5
Luar biasa,5
"Memang bagus aplikasi ini, katanya biaya pembelian 0 tetapi waktu beli dan jual jauh bedanya.kalo kita beli harganya lebih mahal waktu jual harga nya lebih murah,kalo saya liat sama aja kita di kenakan biaya pembelian dan penjualan.misalkan harga coin 2.909 harga beli 2.925 dan harga jual 2.897. perhatikan coin di market nya sebelum melakukan transaksi....",1
Mohon di perbanyak jenis crypto/token agar Agar lebih banyak menarik peminat,4
Good,5
💯,5
Dicoba dulu ya,3
Masih banyak app invest crypto yg lebih bagus dari pada app pintu.. thanks,1
Like,4
Bagus dan mudah,5
Ok tp aplikasi berat suka loading dan maintinence,5
Wd nya susah,1
"Terimakasih pintu, karna sudah memberikan pelayanan yang baik. Dari proses register, bonus reward dan penarikan. Lancar jaya",5
Pengoperasian mudah di mengerti dan sangat membantu menyimpan aset crypto dan mudah juga dalam melakukan transaksi,5
"Pintu rilis Token PTU langsung anjlok, + rilis duluan di Platform yg lain, para pengguna Pintu Kecewa",1
Mantap,5
Tolong pelayanan nya dan respon nya di perbaiki... Saya tarik dana dari kemarin masih tertahan terus padahal Sy sudah balas email nya yg katanya dana tertahan karna nama bank artos di ganti bank jago Sy sudah perbaiki tapi gk ada respon dan saldo nya masih tertahan terus,5
bagus..,4
Sejauh ini ok,5
Super lelet cok,1
Aplikasi pintu sangat rekomendasi sekali buat pemula yg ingin investasi di crypto soal nya tim pibtu selalu memberikan kejutan sebuah bonus,5
"Pintu luar biasa download sekarang, tingkatkan kualitas aplikasi pintu, udah banyak bonus, dan potongan harga beli supaya dikurangi, sukses selalu pintu 👍",5
Cepat trx nya,5
"Banyak hadiah nya ,, nih reff punya saya @cuancryptoindo biar dapat diskon ketika beli",5
"Beli PTU di 49rb pas launching terus selang berapa hari langsung anjlok ke 26rb, wkwk amsyong..",1
Tambahin USD bang rekomended banget ini pintu sumpah,5
Paling bagus untuk berinvestasi Saldo nambah teruss 😘 Jangan lupa masukan kode referral : 👉 @bursapintu 👉 Setiap kamu bertransaksi dapat komisi Cashback hingga 0.004% 😍 Langsung deh di kasih bintang 5 karena aplikasi ini yang terbaik 😘😘😘,5
OK,5
"Aplikasinya bagus, tapi kadang Heng atau down, tolong di perbaiki lg servernya",4
"Waduh selisih jual-Beli -+ 1%nan Masang 10jt selisih jual beli -+100k dan seterusnya, buat nyamain balik modal aja susah, ni buat saran aja, kalo buat nyari duit sehari hari jangan di sini brow, dah kabur aja dari pintu,",1
"Aplikasi yang recommended banget, mudah deposit dan withdraw nya. Keren banget",5
Tolong chat syA di balas. SYa kehilangan goggle aut dan saya gak bisa masuk aplilasi pintu. Bisa tolong di arahkan. Sudh berkLi kli saya kirim email gk d bls,1
Ok,5
Aplikasi bagus..apa lagi dtambah dengan fitur investmen/staking untuk masing2 coin pasti lebih bagus..,5
Recomended buat invest jangka pendek dan panjang..thanks pintu,5
makasi airdrop nya😍,5
ngennnnn bagus tp,5
"Bagus,sangat mudah",5
Mantap,4
Ok,5
Gampang pake apk ini terimakasih sih team pintu,5
Bagus....dan menguntungkan 😍,5
Bagus,5
Mantap,5
Transfer/ wd kalo bisa lebih cepat lagi,5
Salam Cuan 👍🏻,5
Bagus,5
Oke,5
"Banyakin Event nya , aplikasi bagus legit",5
Semoga PTU bisa di pertahankan minimal di harga pas pertama rilis. Banyak user yg serok tapi nyangkut di harga tinggi,3
Ayo PINTU Tunjukan Pesona Mu🤭,5
Goooddd,5
I love it..,5
Manteb banget pokok nya,5
Kalau bisa lebih banyak lagi koinya biar banyak pilihan buat di trendingkan,5
Nice! Semoga pintu menambahkan penarikan melalui ewallet dana dll,5
Bagus,5
Ribet amat,1
Mohon bantuannya dari pihak pintu karena saya tidak bisa masuk ke akun saya karena nomor hp saya telah hilang dan saya tidak bisa menerima otp mohon bantuannya dari pihak pintu untuk melakukan Menganti nomor hp yang baru,5
Semoga sukses slalu.,5
kenapa setiap mau depo antar bank semua VA invailid semua engga ada yg bisa,2
"Paling mudah, cocok buat pemula, ada edukasinya, ada komunitas telegramnya, adminnya fast respon, antarmukanya bagus bgt! The best 👍💯",5
Okkk,5
Mantap,5
Juosss,5
"Enak nya di Pintu itu saldo top up cepet masuknya penarikannya jg lancar gk ada hitungan menit, gk kayak aplikasi sebelah🙏",5
No comment,4
Mantap,5
Kapan ya aku bisa dapet saldo Gratis dari pintu😔,4
"Terimakasih pintu , semoga slalu menjadi yang terbaik ya ..",5
"gk dpt saldo PTU NYA,,KLO dpt sy naikn bintang ny",3
Aplikasi cuan. Mantap,5
Great apps,5
cakepppp,5
Bagus Tingkatkan Lagi,5
Input Kode reff OPTIONAL,5
Mantap,5
Respon 24 jam tapi saya... Komplain tanggapan hanya 1 kali.... Penarikan di tahan gak di refund bagaimana ini,5
"mudah, cepat dan aman 👍🚀",5
Bermanfaat .good luck pintuuu,5
"B coinnya lama naik malah turn terus jadi merugi,setiap kali trading ga pernah berhasil",3
Sangat bagus,5
Mantap banget,5
Bagus,5
Saving Dana Crypto... Semoga semakin baik kedepannya..👍👍,5
saya sudah Kirim email perihal riset GAuth dengan syarat foto selfie dengan identitas namun belom ada respon sama sekali,3
woyy pintu kenapa saya mengirim aset tidak masuk,1
Aplikasi mantap. Gak nyesel ikut pintu,5
Best,5
Sangat bagus,5
Buat menu staking dong,5
Aplikasinya terlalu berat... Masukan . segera luncurkan versi lite saja biar trading nya nyaman dan enteng . mkasih,5
Ga ribet pokonya sangat membantu di masa seperti ini,5
Ok,5
Eror login??? Why?,5
Mantap aplikasinya,5
"Aplikasi bagus,banyak reward rewardnya",5
Verivikasi gogel lama,2
Good,5
Buset,5
"beli dan jual asset crypto jadi mudah, simpel, dan nyaman. sayang dong dark.mode nya terlalu hitam legam. sakit dimata, musti ada lebih ruster.abu-abunya dong",5
"Aplikasi investasi crypto yang bagus untuk pemula, tapi untuk spread sama fee WD memang agak besar ya itu aja minusnya. Tapi tolong tambahkan lagi berbagai koin cryptonya agar lebih bervariasi dalam investasinya",5
Mantap aplikasinya,5
Susah berkembang lah bos. kalo kirim dan terima aset hanya ke sesama pengguna pintu. !!!!!,1
Anjir guwe dah selesai kyc malah mau masuk ga bisa2..loding Mulu ga bisa2.tolong pihak pintu mohon saya diberi akses,1
Is the best,5
t g,1
Ok,5
"GK punya modal, tpi pintu bermasyarakat banget. Orang kaya aku ja bisa ikutan. Terima kasih pintu.",5
Payah...gak menguntungkan..padahl beli oas harga trun...gliran harga naik gak dot untung..,2
Mantapp lah aplikasi nya,5
Mudah2an berjodoh.....aaammmiiiiinnnnnn......Wt lahiran.....,5
Belum bisa transfer ke wallet lain mohon di-update lagi kalau bisa saya tambahin 1 bintang lagi,4
Mantap nih aplikasi.. Kalo ada 10 bintang aku kasih dah,5
Thank pinfu,5
Mantap,5
Aplikasi anak bangsa yang patut diacungi jempol. Tidak kalah dengan aplikasi lain buatan luar. Yang belum download buruan download dong..... ayo... ayo... Terimakasih Pintu atas bonus-bonusnya🙏🙏 Semoga tambah sukses kedepannya👍👍👍👍👍,5
Sangat mmbantu 🥰,3
Good,5
Mantapp,5
makasih untuk 1 PTU nya,5
Mantap..,4
BAPAR bagus parah pokoknya mah,5
Good,5
SEGERA LISTING KOIN SHIBA INU DONG. MASA KOIN SEMERIAH INI KOK DI PINTU GAK ADA! EMANG KALIAN KEMANA AJA,2
"Buruan aktifkan pintu pakai referal 👉 @cakyono85 Langsung dapatkan bonus anda,,,",5
Manatap,4
Josss apknya... gasssss brooo,5
"Apk pintu,mudah di pahami buat pemula seperti saya,terimakasih pintu...semoga kedepannya bisa menjadi apk yg lebih baik lagi 🙏",5
"Tak banyak komentar, T O P. Jangan lupa klo daftar ini referalnya, TRACH458 pasti dapat bonus dari PINTU.",5
Solusi no hpe yg sudah tidak aktif dong email kga di bales bales.,5
Tolong lah penarikan ke rekening knpa ga masuk2 biasanya cpt .. cs ga ada yg respon di chat jg .. perbaiki dlu layanan baru bintang 5 lg,1
Nice,5
Apk teraman dan terpercaya.. kerja simpel auto Sultan...,5
"mantap aplikasinya pencairan cepat rekomendasi cuman harus pandai melihat peluang investasi nya jos....,👉👌💪😁😎",5
"makase pintu so kase blajar pa torang, untuk kedepannya lebih baik lagi dan juga daftar mata uang crypto bisa di tambah lagi🙏👍👍👍",5
Mantap ⭐⭐⭐⭐⭐,5
Asli banyak bonusnya,5
Thanks udah kasih koin PTU ya Dev 😁😁,5
Mantap... Gooood,5
Ok,3
"Aplikasi Mantap Buat Investor Crypto Pemula, Yang Belum Download Wajib Banget Download😁",5
Suka banget sama pintu,5
kenapa lama banget sih proses WD nya? aduhh,2
Easy to use for keep a money,5
"aplikasi ribet, buka lemot, masuk susah, google authenticator invalid terus gimana sih lu bro, sebenernya bisa buat aplikasi gak sih, anjiirrr buang buang waktu bgsat",1
"Kok saya mau log Dgn email sdh bener dan sandi pun uda bener tapi, gilaran uda masukin OTP malah di suruh nnggu 2 jam??? Woii itu cuma konfirmasi j loh kok lama bener... Terus tiap minta kode OTP bru tetap gt heran???!!!",1
Bikin mudah,5
Mantapp,4
Di grup lagi rame reward PTU kenapa saya tidak dapat? Harus rata dong,1
Mantap,5
Saya coba,5
sebenarnya bagus tapi yg kita mau bukan imbalan reward2.tapi perbanyak pilihan koin dan yg belum ada di market idx/tokcryp.pasti sy akan pindahkan asset sy ke pintu semua!!!!terimakasih dan jadilah ciri khas pembeda untuk munculkan koin baru,3
"buat kalian akun nya bermasalah hati2 ,csnya selow respond",1
Muda mudahan aman,5
Wah bagus ne aplikasi rekomendasi... Ayo bergabung !!! Referal saya @argame27,5
. Als,3
Cs nya sangat slow respon dan tidak ramah sekali😡😡😡😡😡,1
Ajg.grub gue pada dapet PTU..gua 3akun gak dapet ngehe.ganti aja pak nya ..jadi PINTU W.C UMUM,1
Cara mudah berinvestasi... terima kasih,5
Maaf saya kasih bintang 1 karena btc saya ko masih kosong🙏🙏🙏,1
Mantep,5
Mantap,5
Very Good,5
Mohon untuk aset crypto nya di tamban lagi donk min,4
Mantap ini aplikasi..cuan terus menerus,5
Tidak Ada Balasan Sama Sekali Sudah MengirimKan Pesan Beberapa Kali.. SATU KALI LAGI TOLONG DI BANTU. nomor saya sudah tidak aktif dan saya tidak bisa login ini bagaimna...TOLONG DI BANTU.,1
💯,5
Mantap PTU coin,5
pintu memudahkan wong cilik belajar investasi crypto. josss,5
milik indonesia.,5
"Aplikasi, investasi terkeren. Buruan yg blm download, di jamin gk bkaln me'nyesal. Barangkali ada yg mau Msukin kode Sya. @mishugii.",5
Suka,5
Bagus,5
Banyak event top pintu,5
Good platform... For anyone,5
Mksh pintu terbaik,5
Pintu di jamin legal,5
BERHARAP CEPAT LISTING KOIN KOIN MICIN THANKS,5
Mantap,5
Luar biasa aplikasi ini👏,5
Pintu memang mantaaaaaaap,5
Penggunaan lama kenapa gak di kasih pintu gratis min,2
Wow dapet airdrop ptu,5
Mantaappp,5
lain kali jangan mentenent yaa,5
Sangat kecewa Karana yang lain dapat saldo pintu gartis dan aku tidak dapat,1
"Sangat rekomendasi aplikasi pintu,,mantapppp saya puas sekali download aplikasi pintu",5
Mantap,5
aplikasi of the year..🎉🎉🎉,5
Kode GAuth hilang 🗿🗿🗿 ribet kirim email @helpPintuID Impossible!,1
Makasih PTU sudah memfasilitasi kami didunia perdagangan internasional,5
Good,5
"Lebih simple dan mudah ,fee nya jg kecil Makasih pintu",5
Dikasih 1 token ptu makasih wkwkw,4
Seneng banget pintu ngasih event terus moga di banyakin promo event nya,5
Mantap Pintu,5
"Terbaik , bakal jadi jagoan ku nih",5
Semoga PTU nya meluncur naik,5
"Loading banget ya ni apk, gak niat buat di perbaiki gitu trs gk lengkap lagi.",3
Aplikasi PHP katanya nanti tgl 25 semua yg daftar sebelum tgl 21 bakalan dapet 1 PTU kok aku gk dapet ya.. ini gmana min???,5
Good,5
Mantap,5
Alhamdulillah lancar,5
Lanjutkan terus karya mu Apk Pintu,5
MNTAPP,5
👍👍👍,4
Semoga semakin terus berkembang,5
Sejak di update kemaren jadi sering logout minta koda pin terus. Mohon diperbaiki,2
Penipuan,1
Mantap,5
Mantap,5
Mantap dapat 1 token PTU,5
Jooozzzzzz.... Kereeeeennn.... Semoga selalu berjaya...ada bonus ny loch...,5
