ulasan,rating,nilai
Parah banget saya nggak bisa masuk ini karena lupa kode Google authenticator milik saya saya sudah email ke cs nya tapi nggak ada balasan sama sekali parah lama Respon nya,2,NEGATIF
Lumayan puas,5,POSITIF
"Luar biasa banget aplikasi ini, dapat cuan banyak dengan beli coin murah pas mahal jual, gitu2 aja, yang penting mah sabar dan jangan pakai duit beras pake duit kopi aja<!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",5,POSITIF
"PARAH BANGSAD BUKA PORTOFOLIO TULISAN NYA MOHON MENUNGGU MULU. SERVER KNTOL PADAHAL WAKTU "" NYA NAIK MAU NGEJUAL GBLOKK",1,NEGATIF
Ok mantap baru beberapa hari terbang pesat. Thanks PINTU . Jngn lupa pakai referral @nurbayaticute88111. Tetap berjuang 🙏🤗,5,POSITIF
Mudah menggunakannya..,5,POSITIF
Aplikasi yang begitu membantu.,5,POSITIF
Mantap lah,5,POSITIF
"bintang 3 dulu, nanti kalo udah bira tarik via dana, ovo, dll di tambahin lagj",3,NEGATIF
"Banyakin lagi criptonya,,, terus biaya jual beli ny jangan mahal2",4,POSITIF
Yg mau daftar pakai refferal saya biar dpt keuntungan bersama @annisasikumbang650,4,POSITIF
Bisa d bantu yg mastah2 d pintu....q blom masukin referal ni,4,POSITIF
"Rasakan aplikasinya, Desain aplikasi yang simpel dan ramah pengguna menjadikan Pintu sebagai platform investasi crypto termudah di Indonesia yang cocok digunakan semua kalangan, Rasakan mudahnya membeli, menjual, serta mengelola aset crypto dengan berbagai fitur yang ditawarkan di aplikasi Pintu, Ditambah dengan tampilannya yang futuristik dan elegan, pengalaman kamu dalam menggunakan aplikasi Pintu akan terasa semakin menyenangkan!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",5,POSITIF
@udin2alam474,5,POSITIF
hayalan orang miskin semoga jd orang kaya..16HbNn3XiXCkAsyDP1n7rduf5urprDPoVV,5,POSITIF
Best,5,POSITIF
Ga masuk2 aplikasi bangke kali !! Ga ada yang bener buatan indonesia emang..,1,NEGATIF
Semuga kedepannya aplikasi pintu lebih bermanfaat bagi msyarakat indonesia umumnya pada generasi mileneal yg komitmen dlm berinvestasi,5,POSITIF
"Mohon diperbaiki, aplikasi berat dijalankan, dan juga ditambah chart per menit",3,NEGATIF
Ok,5,POSITIF
saran kami mohon ada peningkatan untuk pengembangan sell limit dan buy limit masak sich. trader di suruh jaga 24 jam penuh,4,POSITIF
Transaksi cepat siip pintu,5,POSITIF
Is the best,5,POSITIF
Aplikasi kripto tertolol yg pernah gw pakai. Dari sekian aplikasi kripto yg gw temui. Cuma aplikasi sampah ini yg gk jelas. Entah jam bearapa riset persentase nya . Baru aja -4% dengan harga 96.000 dan bberapa menit kemudian -0.10% masih harga sekitar 96.100. tak logis. Dan tak masuk akal harusnya naik harga lebih tinggi awas. Jangan gunakan apk ini. Tidak update dan tidak sama signal dengan aslinya. Hanya menguntukan pihak aplikasi. Dan menguras uang pengguna aplikasi.. TERPARAAH...,1,NEGATIF
Pintu sangat mudah dan support sangat responsive,5,POSITIF
Tambahkan auto order Beli atau jual,4,POSITIF
Katanya sich dapat komisi bitcoin...tp dtgguin belum ada. Saya harap ada klarifikasi nya..??,5,POSITIF
Pintu sudah banyak membantu masalah keuangan saya Terima kasih banyak🙏,5,POSITIF
"Melakukan verifikasi kenapa susah banget,, foto udah jelas masih belum kebaca",1,NEGATIF
"TOLONG LISTING SHIBA INU, EXCANGE DI INDO AJA UDAH MASUKIN SHIBA INU",5,POSITIF
Supportnya buruk,1,NEGATIF
"Market,yg simpel dan mantullll bangeeeeeettt.👍👍👍",5,POSITIF
Ok,5,POSITIF
Nice shot,5,POSITIF
"Platform ini sangat rekomended banget oiy, banyak bonusnya dan biaya adminnya juga terbilang sangat murah.. mantep, lanjutkan eventbnya",5,POSITIF
Sering maintenance dan harga jual beli yang tertera berbeda dengan harga final jauh lebih mahal,1,NEGATIF
"Kenapa Saya tidak dapat bonus PTU? Ranting qw turunin satu, ntr klo dah dapat baru qw naikkan.",3,NEGATIF
Aplikasi apaan ini. Loadingnya terlama... Mau beli asset terlama... Ngabisi waktu. Perbaiki lagi dah.,1,NEGATIF
Tambahin fitur steking min,5,POSITIF
"mereka dapat gratisan, kenapa saya tidak?",1,NEGATIF
Nice future,5,POSITIF
Parah Bos Mahal Banget ngirim ke trus Fee nya hmpir 90% ckckck,1,NEGATIF
Aplikasi yg mantap no bacot dan basa basi,5,POSITIF
Lagi nyoba kasi 3 bintang dulu.,3,NEGATIF
Min tolong masuk kan aset crypto shiba dan lite coin tks,3,NEGATIF
Coba dulu,1,NEGATIF
"Kekurangan pintu itu cuma satu ga mau add jaringan selain erc20 yang feenya ga ngotak, koin yang murah feenya macem xrp dan solana cuma bisa transfer sesama",2,NEGATIF
Telat datang notifikasi code dari gmail nya tolong di perbaiki,1,NEGATIF
"Hi pintu.. tks sdh ksh token pintu nya, maaf sy ksh bintang 3 krn proses jual nya kok susah sekali ya? Tdk seperti proses beli nya.. Sdh sy chat jg blum ada respon nya.. gmn mo dpt cuan klo proses ga lancar.. Tolong di perbaiki ya.. tks",3,NEGATIF
"Rekening aja di tolak gimana saya bisa mencairkan dana.bagi yang mau berinvestasi lebih baik di pikir pikir dulu dengan matang saya di persulit kan di penarikan uang.tapi giliran deposit semuah bisa dari shopepay,gopay,dana dan lain lain ada",5,POSITIF
Mantap app nya lancar cepat juga,5,POSITIF
Aplikasi yg gampang buat pemula,5,POSITIF
"Kecewa!! receive idr dari tko ke pintu jaringan bep20 ga masuk"" !!",3,NEGATIF
Mantul,5,POSITIF
"Susah masuk padahal udah verifikasi email.. mau masuk harus masuk otp terus, keluar lagi harus otp lagi terus aja begitu...",1,NEGATIF
Lumayan ut pengisi waktu senggang.,3,NEGATIF
Aplikasi bagus semoga berkah,5,POSITIF
Sya kasi rate 1 laporan saya tidak pernah ditanggapi,1,NEGATIF
Koin Shiba donk d update,1,NEGATIF
Walau br pertama kali.. dan sy blm tau bagaimana caranya.. sy ingin sekali profit buat hidup layak utk keluarga,5,POSITIF
"Untuk develop, tolong dikasih fitur demo biar yang pemula bisa coba coba dulu",4,POSITIF
OK,5,POSITIF
"Yuk yang mau dapat bonus ketika deposit, pakai kode referal berikut @ahmednuryani",5,POSITIF
Min tambahin buat stacking dong biar seru,4,POSITIF
Good,5,POSITIF
Aplikasi yg gampang di mengerti oleh pemula seperti saya ... Sngt rokemendet banget ... Untuk sementara masih mempelajari dlu sblum nanti star trading di aplikasi pintu ... Optimis sukses bersama pintu,5,POSITIF
mantap.....,5,POSITIF
Good apk,5,POSITIF
"Ni aplikasi pling mncekik,kita beli dmahalin dri hrga asli, kita jual dmurahin dri hrga aslinya, parah bget nyesel gua download ni aplikasi brengsek,dchat support gak ada balasan lg smpe skrg, giliran kita mau deposit cepet bget tanggapan nya, nyesel download",1,NEGATIF
"Transaksi nya cepat juga mudah, tidak banyak aturan, pokok nya gampang banget 👍",5,POSITIF
"Baru dunlut,,, smoga bermanfa'at..",5,POSITIF
Oke,5,POSITIF
"Masih ada satu yg bikin gregetan dr pintu yaitu pd saat jual aset susah sekali soalny ngikutin Hrga jd gagal terus ap lg pas buru2 harga mau turun keburu los jadinya,di aplikasi sebelah tdk sprti itu jual lngsung sukses",3,NEGATIF
Keren,5,POSITIF
Update selanjut nya tambah menu widget.untuk mempermudah pemantauan harga langsung dari background.makasih PINTU.,5,POSITIF
Kok ga bisa di wd sih duit kita asw,1,NEGATIF
Kli bisa ga da potingan klo deposit . Spt d aplk lain jg grts. Tarik dana n masuk dana hrsny d kadih grtis jd tmbh pminat. Klo d pluang enak grts,2,NEGATIF
Cukup,5,POSITIF
Mantap,5,POSITIF
Kereennn bgt .. gokill abiisss,5,POSITIF
"Promo yang ditawarin emang gak main main, sejauh ini masih bagus ketimbang tetangga sebelah wkwkwk. Lebih bagus lagi kalo ada fitur auto sell/increase/ buat take profit/stop lose. Sekarang cuma masih notif alert yang sebenarnya juga membantu sekali. Baru mau daftar dan butuh kode baru? Input @aprilsuwarno, sampe ketemu di DApps Pintu 🤗🤗🤗",5,POSITIF
Ayo bljar aset digital via PINTU...,5,POSITIF
Mantab trading mudah dipahami tingkatkan lagi eventnya,5,POSITIF
"sudah seminggu download apk pintu. Tapi tdk bs masuk untuk membuat akun karena kita harus verifikasi dgn OTP yg dikirim ke email. tp setiap melihat OTP yg dikirim ke email, aplikasi pintu juga kembali ke tampilan awal. jd bagaimana mau ngisi no OTP. Diulang2 seperti itu terus.. sementara kasi 1 bintang dulu.",1,NEGATIF
Bisa bantu Login???,4,POSITIF
Tetaplah proposional..jangan ada kecurangan.maju terus pintu..,4,POSITIF
Jir baru tau lewat tv gua download lah N gampang banget pengoperasian nya gua aja baru belajar trending 2 hari dah bisa makasih pintu Untuk selanjutnya semoga lebih banyak update an untuk fitur penarikan nya Maju terus👍😀,5,POSITIF
Qku mau reset sandi tapibtidak dapat email reset nya gimana nih semoga cepat bisa ke buka lagi,4,POSITIF
"Saya coba instal, dari kemarin gagal terus... Mutar2 aja.. Instal aplikasi lain padahal sukses..",1,NEGATIF
Aplikasinya sangat bagus,4,POSITIF
Tingkatkan terus biar semakin maju,5,POSITIF
Saya senang berinvest di sini,5,POSITIF
"Emang mantep ini aplikasi. Kalian yg belum dwonload, buruan deh download. Nyesel kalo engga download.",5,POSITIF
Nyoba kalo bener bintang 5,4,POSITIF
Bagus,5,POSITIF
ada batas minimal penjualan & cukup besar nominalnya. agak susah untuk kalangan menengah kebawah masa minimal jual Rp. 4.530.000,1,NEGATIF
Coba dulu,4,POSITIF
"Sya kcewa punya sya gk pernah naik kadang anjlok banget gk balik modal ,ni gimna dong tanggapan nya yg lain naik malah aku gk,udh di update trus malu gk ada perubahan",2,NEGATIF
IDI duluh nanti ditambah,3,NEGATIF
"Program referal akan lebih ADIL jika ada link tauatan otomatis menautkan ke id pereferensi tanpa harus mengisi manual ID yg mereferensikan,jika manual sama saja banyak terjadi celah kecurangan dan tidak Adil",1,NEGATIF
Aplikasinya bagus. Kode referral saya 54238 atau kamilmoh,5,POSITIF
Alhamdulillah semenjak gabung aplikasi ini bisa nambah uang jajan. Daftar yuk pakai refferal ini @pijarprbd02 banyak bonusnya lhoo.,5,POSITIF
Asuuuuuuu,1,NEGATIF
Nice aplication,5,POSITIF
"Yg komen bnyak yg cari refral dri pda,ksih solusi... Emang tmpt promosi cri angota ap!!?? Pintu oke tp kendelnya terbatas..nanti semoga di perbaharuin supaya kayak market lain bisa tambah oke... Ksh bintg 3 krna msh blm dpt yg di inginkan..mf",3,NEGATIF
nyobi dulu,4,POSITIF
Mantap bos sebagai mudah,5,POSITIF
Aplikasi nya loadingnya lama beda kayak sebelah,1,NEGATIF
Aplikasi pintu emang ok.... Kamu wajib mencoba,4,POSITIF
Jelek... Nyesel depo disini.. Kebanyakan biaya admin...,1,NEGATIF
"Keren, mudah juga penggunaannya, tapi saran juga banyakin aset cryptonya",4,POSITIF
masi kurang pengalaman,2,NEGATIF
"Ayo download dan daftar menggunakan kode @ilhamnur untuk dapat benefit bonus dari setiap transaksi, selama seumur hidup. Happy cuan.",5,POSITIF
"Menurutku sangat bagus....!!! Hanya sedikit perminraan dari sy mungkin perlu penambahan token2 baby untuk meringankan trading/investasi pemula seperti sy yg baru mempunyai modal yang pas2an.. kalo proses verifikasi n lainyya sungguh oke, cepat dan sangat efidien,, demikian admin. Tks🙏",5,POSITIF
"pepek,,, deposit cepet pencairan lama, sampai saat ini blm masuj, untk tman teman harap hatu hati",1,NEGATIF
saya kasi bintang tiga dulu kalo terbukti menguntungkan dan aman pastinya baru saya tambah lagi bintang nya,3,NEGATIF
No hp hilang ga dapet otp auto ga bisa di buka..nanya ke cs atau media sosial ga ada tanggapan mantap,1,NEGATIF
Belum ngerti😂,1,NEGATIF
Sangat baik,5,POSITIF
Bagus buat main saham mini,5,POSITIF
Aplikasinya mantap sih tapi crytpo currencynya kurang lengkap model coin shiba inu yang lagi hits juga gak ada,4,POSITIF
Kenapa saya tidak bisa wd?,5,POSITIF
Cepat dan mudah,5,POSITIF
Knapa ea untuk deposit susah,3,NEGATIF
Yuuuuup,5,POSITIF
Nice,5,POSITIF
Mantap buat apk PINTU sya daptr dan dapat kado 500 rb. Trimakasih. Ayo teman 2 yang mau daptr jangan ragu. Masukin ref (@lawalata129) saat daptr ya byar dpt kado 500rb juga.,5,POSITIF
Maaf seperti mya harga beli agak lebih mahal di banding dengan indodax dan rekeningku,4,POSITIF
PTU GRATISS!! AMINN,5,POSITIF
Good,5,POSITIF
Mantap,5,POSITIF
Mantap banget,5,POSITIF
Semoga semakin baik,5,POSITIF
Cocok Buat Pemula Untuk Berinvestasi,5,POSITIF
Puas dengan aplikasi pintu,5,POSITIF
Mantul👍👍👍👍,5,POSITIF
Mantulllll,5,POSITIF
gk bisa buka,1,NEGATIF
"Mantap, mantap, mantap, sangat memuaskan untuk pemula wajib pakai aplikasi ini... Yg baru download jngn lipa masukin Reffperal (•@Ⓑ̣̣̣.Ⓤ̣̣̣.Ⓚ̣̣̣.Ⓐ̣̣̣.Ⓟ̣̣̣.Ⓘ̣̣̣.Ⓝ̣̣̣.Ⓣ̣̣̣.Ⓤ̣̣̣•) ini dan dapatkan keuntungan nya... Go go go download !!! <!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",5,POSITIF
Mantap untuk jual beli crypyto dan new berita ada,4,POSITIF
Isi ID raferal {@M.A.S.T.E.R.K.U} saat awal daftar untuk mendapatkan komisi level nya dan dapat bonus lain nya Jangan lupa verifikasi diri.lakukan deposit awal dan lakukan perdagangan pertamamu.aplikasi ini sangat benar recommended buat kalian semua.karena sudah terdaftar di bappepti dan ojk!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,3,NEGATIF
"Kirim email ke custimer servis lama berhari hari dibalesnya cuman mau ganti gauth aja karena hp yang dulu hilang, maaf ya kasih bintang 1",1,NEGATIF
Mantap,5,POSITIF
"mantap , apl y mudah dan seru buat investasi.",5,POSITIF
Maybe be you can make this apps in landscape mode,4,POSITIF
Bagus tapi koin kecil jarang di sini,5,POSITIF
"Aplikasi nya bagus , mohon untuk token krypto lainnya ditambah agar lebih banyak lagi, dan untuk WD mohon juga agar bisa dilakukan 24jam . Dan tambahin fitu² lainnya. trimakasih",4,POSITIF
"Sudah bagus sih,, kalo bisa tambahin aset cryptonya dong,, biar banyak pilihannya,,",3,NEGATIF
Sangat2 bagus,5,POSITIF
( @ooksuhendar986 ),5,POSITIF
Rugi nanem d sni Jual kena potongan Beli kena potongan🤣 taila,1,NEGATIF
"Ahh masa beli token PTU seharga 1,2jt skrng tinggal 900rebu 🥱🥱😌",1,NEGATIF
Bagus aplikasi yang sangat membantu untuk per ekonomian sekarang .. good apk,5,POSITIF
"Pelayanan jelek, saya mau ganti nomor hp udah via email gak ada balasan. Minta otp ke telegram gak muncul otp nya. Makan tuh bintang 1",1,NEGATIF
Oke mntp,5,POSITIF
Terbaik dan termudah dpahami terlebih bagi pemula,5,POSITIF
"Mohon UInya dibetulin, letak ""beli pintu"" dan pengumumannya tidak usah taruh disitu, jarang dibaca tp menghalangi watch list",2,NEGATIF
eKTP saya dinyatakan kadaluwarsa sama aplikasi ini... nggak jadi verifikasi mending uninstall,1,NEGATIF
Mantap,5,POSITIF
Harusnya dalam penarikan ada virtual account/ e-wallet,1,NEGATIF
Mantap,5,POSITIF
good,5,POSITIF
Mantab,5,POSITIF
Alhamdulillah...smg berkah,5,POSITIF
"Otp udh masuk ke email giliran di masukin invalid melulu, hadeeh",1,NEGATIF
"Apaan njirrr,bikin rugi member sendiri, yang untung malah platform bybit, sebetul nya token ptu itu pun ya pintu atau pun ya bybit? Rugi banyakk!!!",1,NEGATIF
"@purintan14646 gunakan aplikasi aku ya teman biar dapat komisi pertamamu, goodluck...",5,POSITIF
invicibletrading intheUniverse,5,POSITIF
Lumayan lah,4,POSITIF
Platform ter ampas kyk taik gw. Hanya mementingkan untung. Tidak menjaga member. Nyesel gw download. Yg mw download mikir 1000x. Sering error dan slow respon.,1,NEGATIF
Coba dulu bos...,5,POSITIF
Tingkat kan ada perbarui,4,POSITIF
Good,5,POSITIF
"Bagus buat pemula tapi sayang ga bisa masang strategi, jadi tidak tahun kapan harus melakukan pembelian",3,NEGATIF
Mau daftar tapi kirim OTP lewat emailnya telat mulu. Akhirnya gagal dong.,3,NEGATIF
Uninstal ajah kirim USDT gak bisa pakai TRC 20,1,NEGATIF
"Min untuk penarikan tambahin e-wallet dong, biar yang ga punya rekening tetep bisa make aplikasi ini. Aplikasi sebelah juga bisa masa sini ngga.",2,NEGATIF
Bisakah menambah deapcoin sebagai aset ?,5,POSITIF
Terimakasih sudah banyak membantu 🙏,5,POSITIF
"$PTU listing di apk sendiri malah lebih dulu di market lain giliran masuk pintu pengguna nya dijadikan tumbal, harga yang digadang gadang $0,25 eh pas listing lebih dari $1 , OP di harga rendah erorr pas masuk eh udah diatas harganya, terus dari awal listing penurunan harga ga ngotak ampe 50% lebih aset hilang, banyak yang rugi , bagaimana investor mau masuk , sedangkan fundamental tidak jelas naik 100 perak turunnya seribu. Mantap pintu the best pokonya",1,NEGATIF
Aplikasi Lemot Parah... Ketika Harga Anjlok/Naik Susah Untuk Buy/Sell...,1,NEGATIF
"Harga 1 coin dg harga estimasi dan harga final sangat jauh berbeda, perbedaan bisa mencapai 1-2% sangat tidak masuk akal. Bukannya untung malah makin buntung/rugi 👎",1,NEGATIF
Saya ini pemula di Pintu. saya belum mengerti dengan baik. Adakah Tutorialnya ??,5,POSITIF
"Gimana cara main nya, bingung sendiri saya, gak ada yang bantu pula",3,NEGATIF
Jngn coba tranding di PTU auto ajlok . Parah,1,NEGATIF
👍,4,POSITIF
Ok,5,POSITIF
Mantap boskuu semoga semakin jata,5,POSITIF
Simple....cepat...ntappp...,4,POSITIF
Lanjutkan penipuan nya wkwkwk,1,NEGATIF
Referal @zetezenn179 mari cari keuntungan di pintu....,5,POSITIF
Baguuuuuuusssss,5,POSITIF
"Sediakan versi web juga, sekalian tambahin tools untuk analisa teknikalnya",3,NEGATIF
Top app😀,5,POSITIF
Baik,5,POSITIF
Bagus dan simple,5,POSITIF
"Nice responsif ,dan fitur menarik ,tampilan juga keren",4,POSITIF
Upppp,1,NEGATIF
Oke lah,3,NEGATIF
Tuan rumah tapi di opennya di bybit bukan di sini langsung,1,NEGATIF
Aplikasi tidak bisa melihat aktifitas dan jumlah teman/referal,3,NEGATIF
Caranya gimana kak tolong kak,2,NEGATIF
Sangat mudah di mengerti buat pemula,5,POSITIF
Sangat mudah jangan lupa join juga kawan biar sama2 untung @azkaafarel26666,1,NEGATIF
Mantap banget,5,POSITIF
veripikasinya cpt ga lama kirainn nunggu 2/3 hr kerja buat yg baru donload PINTU masukin kede repral aku ya biar kita sama sama untung @lanim0285571 terimakasih,5,POSITIF
Bagus aplikasinya pkai refferal ini @oppo87150934 gk ada yg di rugikan kok..,4,POSITIF
Baru pertama belajar Bitcoin dan sejenisnya di Pintu. Semoga bisa dan Sukses selalu semuanya. @rizkahasan248,5,POSITIF
Isi @kenny27. Bonus ayam geprek,4,POSITIF
Mantaf..aplikasi yg luar biasa,5,POSITIF
"Kapok pake pintu. Sekarang baru tahu kenapa gak ada fitur hold. Biar ketika harga naik jualnya susah, server lola banget. Mau jual Ngulang2 puluhan kali (alasan harga udah berubah). Ujung2nya kejual harga rendah juga. Gak lagi lagilah pake pintu.",2,NEGATIF
Sangat bagus,5,POSITIF
Baru belajar,4,POSITIF
✌✌✌,5,POSITIF
Baru belajar,5,POSITIF
Aplikasi mudah dan sangat bermanfaat,5,POSITIF
Top,4,POSITIF
langsung bonus gunakan ref ini @amiinwahyudi893,5,POSITIF
Semoga membantu,5,POSITIF
Ok,5,POSITIF
Mudah memakai ya,5,POSITIF
Jjd,5,POSITIF
Pintu ep ep masih buka,3,NEGATIF
mantap,5,POSITIF
pengoprasian pitur2 aplikasinya mudah dan bagus.,5,POSITIF
Ok.. Bisa di tambah token- token micinya.. 😃😃👍👍,5,POSITIF
"Gak bisa login pake akun lama, susah banget ngeselin udah pake google authenticator gak ada cara lain udah di atur automatic jam nya tapi tetep gagal terus, harusnya ada cara lain buat login, uang bisa melayang kalo gini.",1,NEGATIF
Referal @jackrohman,5,POSITIF
Good,5,POSITIF
Bagus dan simpel pencairanya cepet..cuman aga lemot,5,POSITIF
Menarik,4,POSITIF
Saran dari saya coba dong adain tarik saldo dengan akun wallet biar gampang gk ke bank dulu baru ke akun wallet,5,POSITIF
Bagus,5,POSITIF
Luar biasa,5,POSITIF
"Memang bagus aplikasi ini, katanya biaya pembelian 0 tetapi waktu beli dan jual jauh bedanya.kalo kita beli harganya lebih mahal waktu jual harga nya lebih murah,kalo saya liat sama aja kita di kenakan biaya pembelian dan penjualan.misalkan harga coin 2.909 harga beli 2.925 dan harga jual 2.897. perhatikan coin di market nya sebelum melakukan transaksi....",1,NEGATIF
Mohon di perbanyak jenis crypto/token agar Agar lebih banyak menarik peminat,4,POSITIF
Good,5,POSITIF
💯,5,POSITIF
Dicoba dulu ya,3,NEGATIF
Masih banyak app invest crypto yg lebih bagus dari pada app pintu.. thanks,1,NEGATIF
Like,4,POSITIF
Bagus dan mudah,5,POSITIF
Ok tp aplikasi berat suka loading dan maintinence,5,POSITIF
Wd nya susah,1,NEGATIF
"Terimakasih pintu, karna sudah memberikan pelayanan yang baik. Dari proses register, bonus reward dan penarikan. Lancar jaya",5,POSITIF
Pengoperasian mudah di mengerti dan sangat membantu menyimpan aset crypto dan mudah juga dalam melakukan transaksi,5,POSITIF
"Pintu rilis Token PTU langsung anjlok, + rilis duluan di Platform yg lain, para pengguna Pintu Kecewa",1,NEGATIF
Mantap,5,POSITIF
Tolong pelayanan nya dan respon nya di perbaiki... Saya tarik dana dari kemarin masih tertahan terus padahal Sy sudah balas email nya yg katanya dana tertahan karna nama bank artos di ganti bank jago Sy sudah perbaiki tapi gk ada respon dan saldo nya masih tertahan terus,5,POSITIF
bagus..,4,POSITIF
Sejauh ini ok,5,POSITIF
Super lelet cok,1,NEGATIF
Aplikasi pintu sangat rekomendasi sekali buat pemula yg ingin investasi di crypto soal nya tim pibtu selalu memberikan kejutan sebuah bonus,5,POSITIF
"Pintu luar biasa download sekarang, tingkatkan kualitas aplikasi pintu, udah banyak bonus, dan potongan harga beli supaya dikurangi, sukses selalu pintu 👍",5,POSITIF
Cepat trx nya,5,POSITIF
"Banyak hadiah nya ,, nih reff punya saya @cuancryptoindo biar dapat diskon ketika beli",5,POSITIF
"Beli PTU di 49rb pas launching terus selang berapa hari langsung anjlok ke 26rb, wkwk amsyong..",1,NEGATIF
Tambahin USD bang rekomended banget ini pintu sumpah,5,POSITIF
Paling bagus untuk berinvestasi Saldo nambah teruss 😘 Jangan lupa masukan kode referral : 👉 @bursapintu 👉 Setiap kamu bertransaksi dapat komisi Cashback hingga 0.004% 😍 Langsung deh di kasih bintang 5 karena aplikasi ini yang terbaik 😘😘😘,5,POSITIF
OK,5,POSITIF
"Aplikasinya bagus, tapi kadang Heng atau down, tolong di perbaiki lg servernya",4,POSITIF
"Waduh selisih jual-Beli -+ 1%nan Masang 10jt selisih jual beli -+100k dan seterusnya, buat nyamain balik modal aja susah, ni buat saran aja, kalo buat nyari duit sehari hari jangan di sini brow, dah kabur aja dari pintu,",1,NEGATIF
"Aplikasi yang recommended banget, mudah deposit dan withdraw nya. Keren banget",5,POSITIF
Tolong chat syA di balas. SYa kehilangan goggle aut dan saya gak bisa masuk aplilasi pintu. Bisa tolong di arahkan. Sudh berkLi kli saya kirim email gk d bls,1,NEGATIF
Ok,5,POSITIF
Aplikasi bagus..apa lagi dtambah dengan fitur investmen/staking untuk masing2 coin pasti lebih bagus..,5,POSITIF
Recomended buat invest jangka pendek dan panjang..thanks pintu,5,POSITIF
makasi airdrop nya😍,5,POSITIF
ngennnnn bagus tp,5,POSITIF
"Bagus,sangat mudah",5,POSITIF
Mantap,4,POSITIF
Ok,5,POSITIF
Gampang pake apk ini terimakasih sih team pintu,5,POSITIF
Bagus....dan menguntungkan 😍,5,POSITIF
Bagus,5,POSITIF
Mantap,5,POSITIF
Transfer/ wd kalo bisa lebih cepat lagi,5,POSITIF
Salam Cuan 👍🏻,5,POSITIF
Bagus,5,POSITIF
Oke,5,POSITIF
"Banyakin Event nya , aplikasi bagus legit",5,POSITIF
Semoga PTU bisa di pertahankan minimal di harga pas pertama rilis. Banyak user yg serok tapi nyangkut di harga tinggi,3,NEGATIF
Ayo PINTU Tunjukan Pesona Mu🤭,5,POSITIF
Goooddd,5,POSITIF
I love it..,5,POSITIF
Manteb banget pokok nya,5,POSITIF
Kalau bisa lebih banyak lagi koinya biar banyak pilihan buat di trendingkan,5,POSITIF
Nice! Semoga pintu menambahkan penarikan melalui ewallet dana dll,5,POSITIF
Bagus,5,POSITIF
Ribet amat,1,NEGATIF
Mohon bantuannya dari pihak pintu karena saya tidak bisa masuk ke akun saya karena nomor hp saya telah hilang dan saya tidak bisa menerima otp mohon bantuannya dari pihak pintu untuk melakukan Menganti nomor hp yang baru,5,POSITIF
Semoga sukses slalu.,5,POSITIF
kenapa setiap mau depo antar bank semua VA invailid semua engga ada yg bisa,2,NEGATIF
"Paling mudah, cocok buat pemula, ada edukasinya, ada komunitas telegramnya, adminnya fast respon, antarmukanya bagus bgt! The best 👍💯",5,POSITIF
Okkk,5,POSITIF
Mantap,5,POSITIF
Juosss,5,POSITIF
"Enak nya di Pintu itu saldo top up cepet masuknya penarikannya jg lancar gk ada hitungan menit, gk kayak aplikasi sebelah🙏",5,POSITIF
No comment,4,POSITIF
Mantap,5,POSITIF
Kapan ya aku bisa dapet saldo Gratis dari pintu😔,4,POSITIF
"Terimakasih pintu , semoga slalu menjadi yang terbaik ya ..",5,POSITIF
"gk dpt saldo PTU NYA,,KLO dpt sy naikn bintang ny",3,NEGATIF
Aplikasi cuan. Mantap,5,POSITIF
Great apps,5,POSITIF
cakepppp,5,POSITIF
Bagus Tingkatkan Lagi,5,POSITIF
Input Kode reff OPTIONAL,5,POSITIF
Mantap,5,POSITIF
Respon 24 jam tapi saya... Komplain tanggapan hanya 1 kali.... Penarikan di tahan gak di refund bagaimana ini,5,POSITIF
"mudah, cepat dan aman 👍🚀",5,POSITIF
Bermanfaat .good luck pintuuu,5,POSITIF
