at,userName,content,score
2021-12-02 10:55:36,Tara Putra,Kenapa proses wd lama sekali di chat tidak merespon bagaimana dana saya ini,1
2021-12-02 10:42:55,Kuro-Chan Gaming,"Dear admin/author/dev tambahkan beberapa opsi coin lain dong, seperti dash atau Tron",5
2021-12-02 10:14:16,Dony S. Nbbn,Ok,5
2021-12-02 10:05:14,Dede Kuweha,Semoga lebih di permudah dalam transaksi..,5
2021-12-02 9:50:11,Kang Mukh,Dicoba @mukhlisintijani519,2
2021-12-02 9:34:04,Cucun Kurniawan,apk luar biasa,5
2021-12-02 9:29:32,Muchlis Hadi,"kinerja lambat, deposit tidak masuk"" benar"" mengecewakan.",1
2021-12-02 9:14:20,Dahlan Spensata,Saya barusan deposit rupiah kok belum masuk ya?,2
2021-12-02 8:54:17,Niko Saputra,Proses lambat dah dibilang nomor HP gue hilang berkas smua sesuai Verifikasi diakun sesuai idetitas gue masih juga gk percaya gimana sih biar anda percaya itu berkas saya pokok nya saya kasih bintang 1 smpai brp minggu gk ada perubahan saya kecewa benar sama pintu,1
2021-12-02 8:26:20,Luki Nopiana,Luar biasa,5
2021-12-02 7:29:10,ANGGIE SRI RAHAYU,Apk ny bgs,5
2021-12-02 7:28:32,Afath,Top,5
2021-12-02 7:20:39,Indra Weh,Lumayan bagus,3
2021-12-02 7:15:26,Amton,"Aplikasi trading crypto paling recomended buat trading dan investasi Apalagi Ada grup telegramny admin jg ny baik baik dikasih step step buat para pemula belajar trading untuk fee wd ny murah bgt Untuk Deposit ny jg bisa mudah bisa pake bank sama ewallet shopee,dana,gopay sama ovo cocok dah di masa covid-19 😍😍😍😙",5
2021-12-02 7:03:32,Setiawan sip,Baru mau coba terjun tapi belum ada modal😔,2
2021-12-02 5:55:40,suara hari,Ternyata lebih nyaman di aplikasi sebelah. Hmm ☺️,1
2021-12-02 5:43:58,Black Ryuji,"di coba star 5, sama² belajar. @agusblack418171",5
2021-12-02 5:39:38,Abi Ojos,Baguuuuuus banget,5
2021-12-02 5:16:03,Masrukin,Semua Dalam genggaman..,5
2021-12-02 4:51:18,Novanto Adi,"Secara tampilan dan banyak koin yg di jual sudah sangat oke, tetapi akhir2 ini aplikasinya utk jual beli tidak se smooth dulu.",3
2021-12-02 3:57:43,Pria Dinalmuttaqin,"Terimakasih pintu di kasih 1 PTU, pake @pria10 biar di kasih 1 token PTU lagi",5
2021-12-02 3:35:50,"San Kamil,NO Kang Emil","Hp eror,instal lagi Pintu..kok saldo saya hilang ( Beli SAND & ETHEREUM).. untung baru coba2..😂😂😂,,nilai uangnya kecil",1
2021-12-02 3:26:01,anam grimlock,good app,5
2021-12-02 2:05:59,Asef seftian,"Cocok buat pemula mudah di pahami. Tapi kalau bisa penarik kannya bisa, DANA. OVO",5
2021-12-02 1:44:04,Muhammad Satrio,@mysatrio012,5
2021-12-02 1:31:00,Good Fathers,Mantap,5
2021-12-02 1:27:43,sandi mahendra,"Sangat membantu, semoga menjadi pintu kesuksesan bagi rakyat Indonesia 🇮🇩",5
2021-12-02 1:25:19,Nayyara Sweet,Nyoba dulu Ach. Nanti tambah bintang kalau indah pada waktunya,3
2021-12-02 0:04:51,Saipul Gelex,polume musik pol bagat,5
2021-12-01 23:30:46,Asadullah Anker,"Oy min , saya males ferisikasi lewat kamera , identitas mksdnya , sediain fitur upload from galeri Lah.... ngk pake baju jgk ini -_- , kalo fiturnya uda ada aku genapin bintangnya dan ferisikasi 🖐️",4
2021-12-01 23:11:57,Abdul azis,Trimakasih atas hadiah2 yng tlh di berikan,5
2021-12-01 23:06:57,Atrians Studio,Mantap,5
2021-12-01 22:02:39,Agi Laxus,"Event yang di tawarin ga main main untuk event 2-5 Desember , ayo buruan download aplikasi pintunya lalu daftar dan jangan lupa masukin no reff: @agilaxus94138. ,agar dapat uang 50rb",3
2021-12-01 21:52:13,Muhammad Yana,Mantap surantap pokok nya🥰,5
2021-12-01 21:42:16,alpinn M.N,Good,5
2021-12-01 20:18:51,Topan Andika,Krg ngeti,1
2021-12-01 19:27:54,Totok Hariadi,Bagus sih aplikasi ini wajib di download👍👍,5
2021-12-01 19:13:11,Anggara Yuka,"GAUSH LIAT KEBAWAH, KALO MAU BONUS MASUKIN REFF YAHH @KEEZY",5
2021-12-01 19:02:15,Suryadi Achmad,"fitur bagus, user friendly, cocok untuk pemula seperti ana, walo sedikit berat tapi masi oke lah, hmmm apalagi ya, kalo bisa ada grafis candlestick realtime diweb nya, selebihnya its okeh, ditunggu fitur2 baru nya, dan yang gabung jangan lupa input @isurg ya, salam pintu 🚪",5
2021-12-01 18:28:12,Fitri A,"Menurut saya bagus,yang ada perbedaan harga waktu mau beli krn hp nya kurang ngegas.jika hp nya lemot ya pasti akan beda..penarikan,deposit,jual/beli menurutku cepat. Intinya harus sabar biar bisa profit.. Pake referral @fi3farrel836 biar sama2 cuan",5
2021-12-01 17:41:01,Eggy Setiadi,Mudahkanlah.. Dapat cuan...,5
2021-12-01 17:25:04,Ikhwan Abdillah,Pintu pokonya mantab deh... Yg baru dan belum punya kode refferal pake kode saya : @ikhwanabdillah1 Banyak bonus nya lho otomatis langsung dapat saldo 50 di BTC 30rb di token dan 100rb secara acak,5
2021-12-01 16:47:20,INDRA Lie,"Aplikasi sering error saat jual dan beli, 👎",1
2021-12-01 16:22:04,Yogi Wardian,mantap,5
2021-12-01 15:50:38,Warjito Warjito,"Saya dapat vucer 50rb dari samsung member kok gak masuk sampe expire, Saya kasih bintang 1 karena saya kecewa masih ada yang begini di indonesia.tolong tepati janji baru saya betulkan bintangnya.",1
2021-12-01 15:13:21,ahmad nasruddin,Makasih pintu.akun sy SDH on lagi Butuh waktu utk reset GA...ahirnya di reset sama pintu....,5
2021-12-01 14:45:59,Mardiah Boo,Good Apps,5
2021-12-01 14:16:21,Zibrud General,"Setelah update sekarang saya jatuh miskin, karena pada saat konfirmasi penjualan harga jauh lebih rendah dari estimasi harga jual.. Ini sangat tidak sesuai sekali bisa di kategorikan penipuan.. Tolong di perbaiki & di tanggapi agar pengguna nyaman & senang menggunakan pintu..",1
2021-12-01 14:15:33,Abdulkadirzailani Ipsdua,Aku berharap penarikan nya bisa lewat dana bukan cuman lewat rekening,3
2021-12-01 14:10:14,chandra Saputra,Jousssss 👍👍,5
2021-12-01 13:54:18,syahida 03,Jaringan nya lambat mohon di tingkat kan,3
2021-12-01 13:52:11,UD. AGRO RAHAYU,Mantap..pintu. Pokonya.. yg mau .. gabung.. pake @alitdewa99.. .. aku kasi bintang 5 pokoknya..,5
2021-12-01 13:42:38,Siska ardila,"Dari semua aplikasi cuma ini apliaksi tercepat, ternyaman, sederhana tapi mewah, ga ribet sama sekali, dan yg pasti bisa di percaya. Cuma satu sih yg bikin gue betah,, sederhana dan mudah di gunakan. Kalo aplikasi lain terlalu ribet, jadi males buat buka, pasti langsung uninstal. Sukses terus PINTU.",5
2021-12-01 13:21:47,Mochammad Iqbal,Good,5
2021-12-01 12:41:41,Master PiecE,Semoga cita-cita ku di aplikasi ini tercapai aminnn🙏,5
2021-12-01 12:40:50,Wahyudin Monster SA,"Aplikasi wallet mata uang digital era jaman now, dan sangat bagus sekali karena kita bisa dapatkan cuan dengan mudah di sini, untuk yang baru punya akun di pintu masukan referal nickname di atas judul agar dapat bonus yang kalian terima, keamanan di sini sangat terjamin sudah diawasi ojk dan kominfo serta Bappebti juga, salam dari Binjai.",5
2021-12-01 12:29:33,Asep rohaendi Rocha,Mantap......uang saya jadi bertambah...!!!,5
2021-12-01 12:29:17,Popo Rudi,"Klw ad bintang setengah,,aku kasih buat apk ini. Msh perkara verivikasi aj sulit ny bukan main. Sudah berulang x sllu gagal. Ap lg mslh yg brhubungan dengan uang x yah.... Chat operator hri ini ngchat lusa bru d bls. Yg bilang apk ini bgs, pasti antek2 ny... Para pegawai ny mungkin ya... He,,he,,he",1
2021-12-01 12:13:30,Dwi Harianto,Referal @dwih260483,5
2021-12-01 11:57:00,Ismail Ismail,Mantap buat yg baru belajar,5
2021-12-01 11:46:18,dian lambey,mantp pokonya,5
2021-12-01 11:29:34,Burhan Gamerz,Layanan chat support lama... Beli dogecoin saldo gak masuk masuk tapi saldo IDR udh kepotong.. minta bantu diproses lama gak ada balasan.. 👎👎👎👎👎,1
2021-12-01 11:05:02,ILA S CHANNEL,Parah banget saya nggak bisa masuk ini karena lupa kode Google authenticator milik saya saya sudah email ke cs nya tapi nggak ada balasan sama sekali parah lama Respon nya,2
2021-12-01 10:52:14,aji brojo_musti,Lumayan puas,5
2021-12-01 10:39:58,Kode Novelah ❷⓿❽⓿⓿❻❾ bonus uang,"Luar biasa banget aplikasi ini, dapat cuan banyak dengan beli coin murah pas mahal jual, gitu2 aja, yang penting mah sabar dan jangan pakai duit beras pake duit kopi aja<!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",5
2021-12-01 10:13:25,Rizki Giri,"PARAH BANGSAD BUKA PORTOFOLIO TULISAN NYA MOHON MENUNGGU MULU. SERVER KNTOL PADAHAL WAKTU "" NYA NAIK MAU NGEJUAL GBLOKK",1
2021-12-01 9:49:11,RN0725 nuri,Ok mantap baru beberapa hari terbang pesat. Thanks PINTU . Jngn lupa pakai referral @nurbayaticute88111. Tetap berjuang 🙏🤗,5
2021-12-01 9:45:44,Andrew Aluwi,Mudah menggunakannya..,5
2021-12-01 9:38:50,Agan Dinata,Aplikasi yang begitu membantu.,5
2021-12-01 9:32:14,"buk plengkung total outbond ,",Mantap lah,5
2021-12-01 9:22:13,Sakura Barbar,"bintang 3 dulu, nanti kalo udah bira tarik via dana, ovo, dll di tambahin lagj",3
2021-12-01 9:20:46,Best Musik,"Banyakin lagi criptonya,,, terus biaya jual beli ny jangan mahal2",4
2021-12-01 8:32:54,Azraqi Rafan,Yg mau daftar pakai refferal saya biar dpt keuntungan bersama @annisasikumbang650,4
2021-12-01 7:32:41,agink black,Bisa d bantu yg mastah2 d pintu....q blom masukin referal ni,4
2021-12-01 7:14:11,Novelah kode ❷⓿❽⓿⓿❻❾,"Rasakan aplikasinya, Desain aplikasi yang simpel dan ramah pengguna menjadikan Pintu sebagai platform investasi crypto termudah di Indonesia yang cocok digunakan semua kalangan, Rasakan mudahnya membeli, menjual, serta mengelola aset crypto dengan berbagai fitur yang ditawarkan di aplikasi Pintu, Ditambah dengan tampilannya yang futuristik dan elegan, pengalaman kamu dalam menggunakan aplikasi Pintu akan terasa semakin menyenangkan!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",5
2021-12-01 6:58:35,muhammad bahrudin,@udin2alam474,5
2021-12-01 6:55:11,sinar utara channel,hayalan orang miskin semoga jd orang kaya..16HbNn3XiXCkAsyDP1n7rduf5urprDPoVV,5
2021-12-01 6:47:31,Noval Val,Best,5
2021-12-01 6:11:42,Muhamad Salsabil,Ga masuk2 aplikasi bangke kali !! Ga ada yang bener buatan indonesia emang..,1
2021-12-01 6:05:59,Sukendra Kendra,Semuga kedepannya aplikasi pintu lebih bermanfaat bagi msyarakat indonesia umumnya pada generasi mileneal yg komitmen dlm berinvestasi,5
2021-12-01 5:57:41,supri yadi,"Mohon diperbaiki, aplikasi berat dijalankan, dan juga ditambah chart per menit",3
2021-12-01 5:46:31,Didit Gustaman,Ok,5
2021-12-01 4:57:09,Rohman thahir,saran kami mohon ada peningkatan untuk pengembangan sell limit dan buy limit masak sich. trader di suruh jaga 24 jam penuh,4
2021-12-01 4:52:08,Nana Supriyatna,Transaksi cepat siip pintu,5
2021-12-01 4:01:06,Erwin Erwin,Is the best,5
2021-12-01 3:46:41,Stream Offline,Aplikasi kripto tertolol yg pernah gw pakai. Dari sekian aplikasi kripto yg gw temui. Cuma aplikasi sampah ini yg gk jelas. Entah jam bearapa riset persentase nya . Baru aja -4% dengan harga 96.000 dan bberapa menit kemudian -0.10% masih harga sekitar 96.100. tak logis. Dan tak masuk akal harusnya naik harga lebih tinggi awas. Jangan gunakan apk ini. Tidak update dan tidak sama signal dengan aslinya. Hanya menguntukan pihak aplikasi. Dan menguras uang pengguna aplikasi.. TERPARAAH...,1
2021-12-01 3:30:54,Devy Kurniawan,Pintu sangat mudah dan support sangat responsive,5
2021-12-01 3:25:05,Mas Hari,Tambahkan auto order Beli atau jual,4
2021-12-01 2:37:41,Victory Seven heaven,Katanya sich dapat komisi bitcoin...tp dtgguin belum ada. Saya harap ada klarifikasi nya..??,5
2021-12-01 2:12:10,IKJ 14,Pintu sudah banyak membantu masalah keuangan saya Terima kasih banyak🙏,5
2021-12-01 1:28:39,Hamsyah Putra,"Melakukan verifikasi kenapa susah banget,, foto udah jelas masih belum kebaca",1
2021-12-01 1:03:49,Apif Firdaus,"TOLONG LISTING SHIBA INU, EXCANGE DI INDO AJA UDAH MASUKIN SHIBA INU",5
2021-12-01 0:48:29,Bang AR,Supportnya buruk,1
2021-12-01 0:28:41,Erlan Bae,"Market,yg simpel dan mantullll bangeeeeeettt.👍👍👍",5
2021-12-01 0:21:49,Dapur Bayu Kue,Ok,5
2021-11-30 23:16:51,ferry styawan,Nice shot,5
2021-11-30 23:11:38,Adira Mira,"Platform ini sangat rekomended banget oiy, banyak bonusnya dan biaya adminnya juga terbilang sangat murah.. mantep, lanjutkan eventbnya",5
2021-11-30 21:19:53,Muh Kamaluddin Hamid,Sering maintenance dan harga jual beli yang tertera berbeda dengan harga final jauh lebih mahal,1
2021-11-30 20:41:31,Alisama Lafau,"Kenapa Saya tidak dapat bonus PTU? Ranting qw turunin satu, ntr klo dah dapat baru qw naikkan.",3
2021-11-30 19:51:43,Devriyanto Devriyanto,Aplikasi apaan ini. Loadingnya terlama... Mau beli asset terlama... Ngabisi waktu. Perbaiki lagi dah.,1
2021-11-30 19:44:15,muiz zone,Tambahin fitur steking min,5
2021-11-30 19:09:13,Mr Oprek,"mereka dapat gratisan, kenapa saya tidak?",1
2021-11-30 18:10:59,Maiden Exron Purba,Nice future,5
2021-11-30 17:51:25,Exal Marshall,Parah Bos Mahal Banget ngirim ke trus Fee nya hmpir 90% ckckck,1
2021-11-30 17:28:42,fajar Andrianto,Aplikasi yg mantap no bacot dan basa basi,5
2021-11-30 16:15:50,Marius Ponsianus dheno,Lagi nyoba kasi 3 bintang dulu.,3
2021-11-30 14:23:02,Bilal Bilal,Min tolong masuk kan aset crypto shiba dan lite coin tks,3
2021-11-30 14:15:54,Mey Nekita,Coba dulu,1
2021-11-30 14:13:53,Zulham Yusuf,"Kekurangan pintu itu cuma satu ga mau add jaringan selain erc20 yang feenya ga ngotak, koin yang murah feenya macem xrp dan solana cuma bisa transfer sesama",2
2021-11-30 14:02:00,Tryadi Ghiffari,Telat datang notifikasi code dari gmail nya tolong di perbaiki,1
2021-11-30 13:35:44,Preddy Septiyandhi,"Hi pintu.. tks sdh ksh token pintu nya, maaf sy ksh bintang 3 krn proses jual nya kok susah sekali ya? Tdk seperti proses beli nya.. Sdh sy chat jg blum ada respon nya.. gmn mo dpt cuan klo proses ga lancar.. Tolong di perbaiki ya.. tks",3
2021-11-30 13:24:32,Agung Gumilar,"Rekening aja di tolak gimana saya bisa mencairkan dana.bagi yang mau berinvestasi lebih baik di pikir pikir dulu dengan matang saya di persulit kan di penarikan uang.tapi giliran deposit semuah bisa dari shopepay,gopay,dana dan lain lain ada",5
2021-11-30 13:22:24,Ahmad Rindhoni,Mantap app nya lancar cepat juga,5
2021-11-30 13:13:54,Rifaldi Sahi,Aplikasi yg gampang buat pemula,5
2021-11-30 13:04:01,Feri Hardiansah,"Kecewa!! receive idr dari tko ke pintu jaringan bep20 ga masuk"" !!",3
2021-11-30 12:44:41,helmy ilhamsyah,Mantul,5
2021-11-30 12:44:30,Wanda Tasdika,"Susah masuk padahal udah verifikasi email.. mau masuk harus masuk otp terus, keluar lagi harus otp lagi terus aja begitu...",1
2021-11-30 12:42:30,citro puluhulawa,Lumayan ut pengisi waktu senggang.,3
2021-11-30 12:02:47,Dedi Masry,Aplikasi bagus semoga berkah,5
2021-11-30 12:00:49,Abraham Said,Sya kasi rate 1 laporan saya tidak pernah ditanggapi,1
2021-11-30 11:58:37,Singgih Sinaga,Koin Shiba donk d update,1
2021-11-30 11:56:58,naila putri,Walau br pertama kali.. dan sy blm tau bagaimana caranya.. sy ingin sekali profit buat hidup layak utk keluarga,5
2021-11-30 11:55:17,Afrilia Nur S.,"Untuk develop, tolong dikasih fitur demo biar yang pemula bisa coba coba dulu",4
2021-11-30 11:37:00,Al Do,OK,5
2021-11-30 11:29:00,Najwa Atsilah Aiyani,"Yuk yang mau dapat bonus ketika deposit, pakai kode referal berikut @ahmednuryani",5
2021-11-30 11:15:55,Bola New's,Min tambahin buat stacking dong biar seru,4
2021-11-30 10:59:51,ELIASER GOBAI,Good,5
2021-11-30 10:50:18,Qurrota ayuni,Aplikasi yg gampang di mengerti oleh pemula seperti saya ... Sngt rokemendet banget ... Untuk sementara masih mempelajari dlu sblum nanti star trading di aplikasi pintu ... Optimis sukses bersama pintu,5
2021-11-30 10:45:25,Iksan tuduan Tuduan,mantap.....,5
2021-11-30 10:23:47,Sani Putri,Good apk,5
2021-11-30 9:18:48,Aira Azzahra,"Ni aplikasi pling mncekik,kita beli dmahalin dri hrga asli, kita jual dmurahin dri hrga aslinya, parah bget nyesel gua download ni aplikasi brengsek,dchat support gak ada balasan lg smpe skrg, giliran kita mau deposit cepet bget tanggapan nya, nyesel download",1
2021-11-30 9:15:19,ANDI SASTRAWATI,"Transaksi nya cepat juga mudah, tidak banyak aturan, pokok nya gampang banget 👍",5
2021-11-30 9:05:33,Puji Anto,"Baru dunlut,,, smoga bermanfa'at..",5
2021-11-30 8:33:28,Damar Gamer,Oke,5
2021-11-30 8:04:28,Fatimah Azzahroh,"Masih ada satu yg bikin gregetan dr pintu yaitu pd saat jual aset susah sekali soalny ngikutin Hrga jd gagal terus ap lg pas buru2 harga mau turun keburu los jadinya,di aplikasi sebelah tdk sprti itu jual lngsung sukses",3
2021-11-30 7:57:33,Deria Sandrila,Keren,5
2021-11-30 7:45:16,rudy andriana,Update selanjut nya tambah menu widget.untuk mempermudah pemantauan harga langsung dari background.makasih PINTU.,5
2021-11-30 7:42:10,Dea Puspita hapsari,Kok ga bisa di wd sih duit kita asw,1
2021-11-30 6:52:44,syafia fitriani,Kli bisa ga da potingan klo deposit . Spt d aplk lain jg grts. Tarik dana n masuk dana hrsny d kadih grtis jd tmbh pminat. Klo d pluang enak grts,2
2021-11-30 6:52:23,Tedi Ari Irawan,Cukup,5
2021-11-30 6:40:36,Berian Priyanto,Mantap,5
2021-11-30 6:37:29,Yulius Stevanus,Kereennn bgt .. gokill abiisss,5
2021-11-30 6:18:23,April Suwarno,"Promo yang ditawarin emang gak main main, sejauh ini masih bagus ketimbang tetangga sebelah wkwkwk. Lebih bagus lagi kalo ada fitur auto sell/increase/ buat take profit/stop lose. Sekarang cuma masih notif alert yang sebenarnya juga membantu sekali. Baru mau daftar dan butuh kode baru? Input @aprilsuwarno, sampe ketemu di DApps Pintu 🤗🤗🤗",5
2021-11-30 6:06:29,Isa Fansuri,Ayo bljar aset digital via PINTU...,5
2021-11-30 6:03:25,Nurul Ikwat,Mantab trading mudah dipahami tingkatkan lagi eventnya,5
2021-11-30 5:58:14,royke fg,"sudah seminggu download apk pintu. Tapi tdk bs masuk untuk membuat akun karena kita harus verifikasi dgn OTP yg dikirim ke email. tp setiap melihat OTP yg dikirim ke email, aplikasi pintu juga kembali ke tampilan awal. jd bagaimana mau ngisi no OTP. Diulang2 seperti itu terus.. sementara kasi 1 bintang dulu.",1
2021-11-30 5:39:45,Marjoto Marjoto,Bisa bantu Login???,4
2021-11-30 4:59:48,Sugeng Winarno,Tetaplah proposional..jangan ada kecurangan.maju terus pintu..,4
2021-11-30 4:22:20,cop nime,Jir baru tau lewat tv gua download lah N gampang banget pengoperasian nya gua aja baru belajar trending 2 hari dah bisa makasih pintu Untuk selanjutnya semoga lebih banyak update an untuk fitur penarikan nya Maju terus👍😀,5
2021-11-30 4:10:29,Aditya Punt,Qku mau reset sandi tapibtidak dapat email reset nya gimana nih semoga cepat bisa ke buka lagi,4
2021-11-30 3:57:39,Joni AH Sitorus,"Saya coba instal, dari kemarin gagal terus... Mutar2 aja.. Instal aplikasi lain padahal sukses..",1
2021-11-30 3:52:43,The Remitas,Aplikasinya sangat bagus,4
2021-11-30 2:17:43,Harun Firdaus,Tingkatkan terus biar semakin maju,5
2021-11-30 2:14:29,Maksum,Saya senang berinvest di sini,5
2021-11-30 1:49:23,Afandi Rizal,"Emang mantep ini aplikasi. Kalian yg belum dwonload, buruan deh download. Nyesel kalo engga download.",5
2021-11-30 1:33:11,firman maulana,Nyoba kalo bener bintang 5,4
2021-11-30 0:54:35,Feisal Rendy,Bagus,5
2021-11-30 0:28:32,khoerul_46 KoronK,ada batas minimal penjualan & cukup besar nominalnya. agak susah untuk kalangan menengah kebawah masa minimal jual Rp. 4.530.000,1
2021-11-30 0:12:19,Marsal Piliang,Coba dulu,4
2021-11-30 0:07:01,Denisa Arzalia24,"Sya kcewa punya sya gk pernah naik kadang anjlok banget gk balik modal ,ni gimna dong tanggapan nya yg lain naik malah aku gk,udh di update trus malu gk ada perubahan",2
2021-11-29 23:16:44,Mirnawati Nur,IDI duluh nanti ditambah,3
2021-11-29 23:08:02,Wijaya Group,"Program referal akan lebih ADIL jika ada link tauatan otomatis menautkan ke id pereferensi tanpa harus mengisi manual ID yg mereferensikan,jika manual sama saja banyak terjadi celah kecurangan dan tidak Adil",1
2021-11-29 22:58:22,The Crazy Channel,Aplikasinya bagus. Kode referral saya 54238 atau kamilmoh,5
2021-11-29 22:54:16,Nadia,Alhamdulillah semenjak gabung aplikasi ini bisa nambah uang jajan. Daftar yuk pakai refferal ini @pijarprbd02 banyak bonusnya lhoo.,5
2021-11-29 22:23:32,Azka Nurrifai,Asuuuuuuu,1
2021-11-29 22:02:59,Melinda Kumey,Nice aplication,5
2021-11-29 21:42:23,Fgio Raja,"Yg komen bnyak yg cari refral dri pda,ksih solusi... Emang tmpt promosi cri angota ap!!?? Pintu oke tp kendelnya terbatas..nanti semoga di perbaharuin supaya kayak market lain bisa tambah oke... Ksh bintg 3 krna msh blm dpt yg di inginkan..mf",3
2021-11-29 21:22:53,Jos Melotot,nyobi dulu,4
2021-11-29 19:40:37,Olis Bundda,Mantap bos sebagai mudah,5
2021-11-29 18:34:18,Wong Cirebon 123,Aplikasi nya loadingnya lama beda kayak sebelah,1
2021-11-29 17:56:31,Dawinara,Aplikasi pintu emang ok.... Kamu wajib mencoba,4
2021-11-29 17:44:53,koko sun,Jelek... Nyesel depo disini.. Kebanyakan biaya admin...,1
2021-11-29 17:28:15,Amar Alghifari Setiawan,"Keren, mudah juga penggunaannya, tapi saran juga banyakin aset cryptonya",4
2021-11-29 17:09:54,Yusril Yus,masi kurang pengalaman,2
2021-11-29 16:18:56,Ilham Nur,"Ayo download dan daftar menggunakan kode @ilhamnur untuk dapat benefit bonus dari setiap transaksi, selama seumur hidup. Happy cuan.",5
2021-11-29 15:58:48,"CEPAT KAYA. COM SPIN BTC, MINING BTC TERBARU","Menurutku sangat bagus....!!! Hanya sedikit perminraan dari sy mungkin perlu penambahan token2 baby untuk meringankan trading/investasi pemula seperti sy yg baru mempunyai modal yang pas2an.. kalo proses verifikasi n lainyya sungguh oke, cepat dan sangat efidien,, demikian admin. Tks🙏",5
2021-11-29 15:26:31,riki ikiy,"pepek,,, deposit cepet pencairan lama, sampai saat ini blm masuj, untk tman teman harap hatu hati",1
2021-11-29 14:40:39,Feri Yadi,saya kasi bintang tiga dulu kalo terbukti menguntungkan dan aman pastinya baru saya tambah lagi bintang nya,3
2021-11-29 14:34:09,Sunda Army,No hp hilang ga dapet otp auto ga bisa di buka..nanya ke cs atau media sosial ga ada tanggapan mantap,1
2021-11-29 13:17:09,ipankz gantz,Belum ngerti😂,1
2021-11-29 13:15:58,Dika 700,Sangat baik,5
2021-11-29 12:54:12,Adriano Alonso,Bagus buat main saham mini,5
2021-11-29 12:39:38,Zona Ngakak,Aplikasinya mantap sih tapi crytpo currencynya kurang lengkap model coin shiba inu yang lagi hits juga gak ada,4
2021-11-29 12:35:00,D2W TV,Kenapa saya tidak bisa wd?,5
2021-11-29 12:25:16,Sigit Widayanto,Cepat dan mudah,5
2021-11-29 12:11:22,maya indriati,Knapa ea untuk deposit susah,3
2021-11-29 12:05:00,Rofi'i Pi'i,Yuuuuup,5
2021-11-29 11:53:12,Mini๛cát࿐,Nice,5
2021-11-29 11:18:34,Dinda Mulyana,Mantap buat apk PINTU sya daptr dan dapat kado 500 rb. Trimakasih. Ayo teman 2 yang mau daptr jangan ragu. Masukin ref (@lawalata129) saat daptr ya byar dpt kado 500rb juga.,5
2021-11-29 11:12:03,Ancah ancima,Maaf seperti mya harga beli agak lebih mahal di banding dengan indodax dan rekeningku,4
2021-11-29 11:08:28,Firman Syah,PTU GRATISS!! AMINN,5
2021-11-29 11:06:22,Ncom HT,Good,5
2021-11-29 10:55:46,B Zay TV,Mantap,5
2021-11-29 10:53:32,rasyid masumoto,Mantap banget,5
2021-11-29 10:52:39,Yules Rozali,Semoga semakin baik,5
2021-11-29 10:24:03,Shafwan Anugerah,Cocok Buat Pemula Untuk Berinvestasi,5
2021-11-29 10:23:31,ardianto syahputra,Puas dengan aplikasi pintu,5
2021-11-29 9:53:05,SUNATA,Mantul👍👍👍👍,5
2021-11-29 9:35:07,Andy Cinematography,Mantulllll,5
2021-11-29 9:26:56,Sayed murzani,gk bisa buka,1
2021-11-29 9:08:11,Mille Elle 7,"Mantap, mantap, mantap, sangat memuaskan untuk pemula wajib pakai aplikasi ini... Yg baru download jngn lipa masukin Reffperal (•@Ⓑ̣̣̣.Ⓤ̣̣̣.Ⓚ̣̣̣.Ⓐ̣̣̣.Ⓟ̣̣̣.Ⓘ̣̣̣.Ⓝ̣̣̣.Ⓣ̣̣̣.Ⓤ̣̣̣•) ini dan dapatkan keuntungan nya... Go go go download !!! <!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",5
2021-11-29 8:46:36,Muhammad Septian EM,Mantap untuk jual beli crypyto dan new berita ada,4
